conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1917264334755094745;Tue Apr 29 17:06:53 +0000 2025;213;Anggota DPR Komisi II Komarudin WatoBun menilai Presiden Prabowo perlu bersikap tegas menanggapi tuntutan purnawirawan TNI terkait pergantian wapres Gibran. . . . . Selasa wujud bakti nyata BUMN Baila DUNIA FATTZAR BERGOYANG 148 May Day. https://t.co/Zc1zcdm6KQ;1917264334755094745;https://pbs.twimg.com/ext_tw_video_thumb/1917264296846950400/pu/img/cECQ-kG26NaLXJXv.jpg;;in;;3;15;85;https://x.com/Nobody_2811/status/1917264334755094745;1787788662295683072;Nobody_2811
1917231645486354588;Tue Apr 29 14:56:59 +0000 2025;137;Senin sore (28/4) saya menghadiri undangan pertemuan pengurus Badan Pengelola Investasi Danantara bersama seluruh jajaran direksi BUMN. Kami menerima arahan Bapak Presiden @prabowo mengenai pengelolaan investasi strategis untuk semakin memperkuat ketahanan ekonomi nasional. https://t.co/wuOmIRPIXW;1917231645486354588;https://pbs.twimg.com/ext_tw_video_thumb/1917230888854913024/pu/img/ItNJWRHRtbgkEi2k.jpg;;in;;3;25;40;https://x.com/AgusYudhoyono/status/1917231645486354588;842986784;AgusYudhoyono
1917227526818316489;Tue Apr 29 14:40:37 +0000 2025;2361;Dulu LBP bgitu kejam ke Presiden @prabowo bahkan dihancurkan sehancur2nya pdhl sesama dr militer sesama dr Kopassus. Skrg LBP berbalik memuja-muji sungguh jabatan bisa membuatmu munafik! https://t.co/avzTCuknx3;1917227526818316489;https://pbs.twimg.com/media/GptcRQ7bgAAuKLZ.jpg;;in;;29;177;1010;https://x.com/bachrum_achmadi/status/1917227526818316489;105085302;bachrum_achmadi
1917222387415945710;Tue Apr 29 14:20:12 +0000 2025;113;Karena saya cinta Polri makanya saya kritik. Untuk oknum polisi yang bermain-main dengan kasus narkoba tolong ditindak tegas. Narkoba musuh bersama. Perangi Narkoba termasuk Asta Cita Presiden Prabowo. --- Pink BUMN Vasektomi Gray KimHyeYoon_Baeksang2025 Mahae Danantara https://t.co/5cFOuxxovO;1917222387415945710;https://pbs.twimg.com/ext_tw_video_thumb/1917222340754300928/pu/img/DqmYvcIMZ2y7vGvI.jpg;;in;;1;1;45;https://x.com/_riverheaven/status/1917222387415945710;975389335775199232;_riverheaven
1917207823710388289;Tue Apr 29 13:22:19 +0000 2025;252;Setuju untuk mas Angga Raka Prabowo menjadi Jubir Presiden. Selain sudah lama banget bersama2 Pak Prabowo sehingga mampu menerjemahkan maksud beliau secara lebih baik juga cara berbicaranya runtun dan tenang. https://t.co/AqaSjDeiMx;1917207823710388289;;;in;;1;22;54;https://x.com/PartaiSocmed/status/1917207823710388289;869327120;PartaiSocmed
1917205586846048380;Tue Apr 29 13:13:26 +0000 2025;1833;Presiden Prabowo Subianto berencana membentuk 80 ribu unit Koperasi Desa Merah Putih. KUD pernah gagal di masa Orde Baru jadi cermin susahnya membangun koperasi profesional di desa. Kini dana besar dikelola oleh politikus. Untuk siapa sesungguhnya program ini dibuat? https://t.co/WZtKPqgWRK;1917205586846048380;https://pbs.twimg.com/media/GptGbnfa0AAJyNm.jpg;;in;;91;94;717;https://x.com/tempodotco/status/1917205586846048380;18129942;tempodotco
1916870420176998848;Tue Apr 29 09:35:35 +0000 2025;313;@FFeby03 Prabowo itu suka ga suka udah jadi presiden KDM ada kans untuk jadi presiden Masak abis kenak prabowo kena KDM lagi. Mana sebelumnya mulyono Azab dosa apa;1917150762771402777;;FFeby03;in;;2;9;14;https://x.com/itsurboihyl/status/1917150762771402777;1115929669700804608;itsurboihyl
1917131654407258435;Tue Apr 29 08:19:39 +0000 2025;378; Jika Prabowo tak berani menegakkan marwah demokrasi dan konstitusi dengan memutus relasi kuasa Jokowi melalui Gibran maka kita patut curiga: apakah Prabowo sungguh presiden atau hanya simbol dari perpanjangan tangan kekuasaan lama? Ini bukan soal suka atau tidak suka. Ini https://t.co/BquD38gUGr;1917131654407258435;https://pbs.twimg.com/media/GpsFFBabgAEAejb.jpg;;in;;2;24;146;https://x.com/Nicho_Silalahi/status/1917131654407258435;75519742;Nicho_Silalahi
1917131323006980416;Tue Apr 29 08:18:20 +0000 2025;141;Bagus juga nih idenya Berbeda dg konsep Makan Bergizi Gratisnya @prabowo Gubernur Jabar @DediMulyadi71 punya konsep sendiri yaitu memberikan uangnya kpd orang tua siswa. Masalahnya Presiden @prabowo akan setuju atau tidak dan anggaran 15rb/siswa bakal disetujui oleh @Menkeu ? https://t.co/fxdHJS8GeA;1917131323006980416;https://pbs.twimg.com/ext_tw_video_thumb/1917131187807784964/pu/img/4A3PRTXr-m3lcTP7.jpg;;in;;6;57;50;https://x.com/NenkMonica/status/1917131323006980416;1040306964100669440;NenkMonica
1917029343135674792;Tue Apr 29 07:39:50 +0000 2025;238;Kalau ada yang tanya siapa sih yang seharusnya diidolakan maka jawabannya adalah Bapak Presiden Prabowo.;1917121632302469506;;KemenperinRI;in;;15;12;18;https://x.com/KemenperinRI/status/1917121632302469506;1030789552867139584;KemenperinRI
1917118050639483268;Tue Apr 29 07:25:36 +0000 2025;208;Indonesia Terang Realisasi Investasi kuartal 1 melampaui target. Optimistis dan kerja keras harus tetap dijaga oleh bangsa ini. Terima kasih presiden @prabowo https://t.co/Ex38P7qs2K;1917118050639483268;;;in;;8;115;43;https://x.com/kurawa/status/1917118050639483268;46651600;kurawa
1917108338707599662;Tue Apr 29 06:47:00 +0000 2025;397;Hasan Nasbi mengundurkan diri dari jabatannya sebagai Kepala Kantor Komunikasi Kepresidenan. Surat pengunduran diri Hasan sudah dikirimkan kepada Presiden Prabowo Subianto melalui Sekrestaris Kabinet Teddy Indra Wijaya dan Menteri Sekretaris Negara Prasetyo Hadi. #tempodotco https://t.co/UoFUsUA6Jy;1917108338707599662;https://pbs.twimg.com/media/GprvexZbEAAxs_j.jpg;;in;;33;29;112;https://x.com/tempodotco/status/1917108338707599662;18129942;tempodotco
1917101637405118527;Tue Apr 29 06:20:23 +0000 2025;111;Presiden Prabowo Subianto: Danantara Indonesia bukan milik kita bukan milik orang tua kita bukan milik partai kita bukan milik golongan tapi milik rakyat Indonesia yang harus kita jaga. https://t.co/WWkiaShKAu;1917101637405118527;https://pbs.twimg.com/ext_tw_video_thumb/1917101445620633606/pu/img/XKmZF5Lm0wxJ3nR-.jpg;;in;;6;29;28;https://x.com/Ndons_Back/status/1917101637405118527;1289954556411969537;Ndons_Back
