conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,86824E+18;Sun Dec 15 23:10:23 +0000 2024;319;@tvOneNews Inilah derita rakyat Indonesia pak presiden @prabowo ... Knp susah banget membasmi pinjol dan judol pak? Rakyat Indonesia skrg lbh bnyk yg miskin pak... Catet itu!;1,86843E+18;;tvOneNews;in;DKI Jakarta, Indonesia🇲🇨;1;11;21;https://x.com/ommi_siregar/status/1868433454331027909;1,42979E+18;ommi_siregar
1,86834E+18;Sun Dec 15 17:09:11 +0000 2024;5131;Yg tidak di liput Media tv Manapun dwmo mahasiswa menghendaki kapolri @ListyoSigitP Di copot. Bagaimana reaksi presiden @prabowo @Gerindra Apa kira kira tanggapannya https://t.co/P4j8BqAcRd;1,86834E+18;https://pbs.twimg.com/ext_tw_video_thumb/1868342438248820737/pu/img/BbQA55XLMh3UBmbJ.jpg;;in;;37;166;2296;https://x.com/H4T14K4LN4L42/status/1868342551587201493;1,12967E+18;H4T14K4LN4L42
1,86832E+18;Sun Dec 15 15:29:34 +0000 2024;578;Jempol -Jempol Netizen X-Twitter di dengar Istana Bapak Polisi Twitter +62 Kombes Ahrie Sonta Nasution - Ajudan Presiden Prabowo Subianto Buka Suara Terduga pelaku penganiayaan sedang diburu aparat kepolisian karena telah melarikan diri https://t.co/QHDxWGjRPj;1,86832E+18;https://pbs.twimg.com/media/Ge2Y2h-aMAAR74f.jpg;;in;I N D O N E S I A;9;112;217;https://x.com/Heraloebss/status/1868317485562568736;1,25182E+18;Heraloebss
1,8683E+18;Sun Dec 15 14:26:56 +0000 2024;2823;Selamatkan lahan pertanian subur Bpk Presiden @prabowo yth jauh lebih efesien menyelamatkan puluhan ribu ha lahan pertanian di Tangerang yg sdg digusur oleh pengembang PIK-2 dg harga yg sangat murah dibanding cetak sewah baru di luar Jawa. Cukup dg memperbaiki irigasi. https://t.co/yE7Soi95vj;1,8683E+18;https://pbs.twimg.com/ext_tw_video_thumb/1868301616451035136/pu/img/d9N2_etflaBrlwYj.jpg;;in;;15;75;1383;https://x.com/msaid_didu/status/1868301721270927485;1,11799E+18;msaid_didu
1,86828E+18;Sun Dec 15 14:07:35 +0000 2024;364;"@DokterTifa Pak @prabowo Anda Boleh Diam &amp; Memaafkan Kasus Penghinaan Fufufafa Terhadap Keluarga Bapak TAPI Kami Rakyat Indonesia Malu DiMata Dunia Punya Wakil Presiden Bodoh Seperti Gibran Se-Akan2 Rakyat Indonesia Bodoh2 &amp; Miskin Tunduk Pada Pembagian Sembako Bansos.Proses Hukum Fufufafa";1,8683E+18;;DokterTifa;in;;0;15;44;https://x.com/MMehonx/status/1868296853688885521;1,64246E+18;MMehonx
1,86829E+18;Sun Dec 15 13:46:54 +0000 2024;388;"PERTEMUA PARA TOKOH ISLAM BANTEN Dengan Mantan KH MARUF AMIN Meminta para Tokoh Islam tsb Mengirim Delegasi Utk Bertemu Presiden Prabowo Utk Meninjau Kembali &amp; Kalo Perlu Dibatalkan Proyek PSN Tropical Coastland Land yg Didalamnya Ada Proyek PIK 2 yg SDH Sengsarakan Rakyat https://t.co/7iY3jjYnqp";1,86829E+18;https://pbs.twimg.com/ext_tw_video_thumb/1868291476452696064/pu/img/dXy_l1ENXZiVlAbE.jpg;;in;;2;16;171;https://x.com/Muslim_AntiPKI9/status/1868291645781004671;1,60409E+18;Muslim_AntiPKI9
1,86828E+18;Sun Dec 15 12:51:31 +0000 2024;122;Orang2 yg mau berpikir begitu menghormati dan mencintainya Yakin negara semakin tertata menuju adil makmur Semua sedang berproses Tak ada proses menyenangkan menuju sukses dibutuhkan perasan keringat perjuangan Sehat selalu Presiden Prabowo Subianto @prabowo 🇮🇩 https://t.co/T5liS2whxO;1,86828E+18;https://pbs.twimg.com/ext_tw_video_thumb/1868277438616309761/pu/img/wReh0J_3YZwSu6n7.jpg;;in;;4;29;31;https://x.com/BANGSAygSUJUD/status/1868277707643170853;1,18904E+18;BANGSAygSUJUD
1,86827E+18;Sun Dec 15 12:33:14 +0000 2024;163;Saya dan Panglima TNI mendampingi Bapak Presiden RI melaksanakan makan siang bersama Taruna Akpol setelah memberi pengarahan pada Apel Kasatwil. Pada kesempatan itu Bapak Presiden didampingi jajaran Menteri Kabinet Merah Putih yang hadir menyanyikan lagu daerah asal Maluku https://t.co/OxnqmdaSlC;1,86827E+18;https://pbs.twimg.com/amplify_video_thumb/1868272757500481536/img/t-fnooRUMOkhSnxu.jpg;;in;;8;139;41;https://x.com/ListyoSigitP/status/1868273108043583490;1,43112E+18;ListyoSigitP
1,86826E+18;Sun Dec 15 11:54:34 +0000 2024;298;Polisi Era Presiden Prabowo Antara Harapan dan Kenyataan https://t.co/V1l8TrRaBg;1,86826E+18;https://pbs.twimg.com/media/Ge1npE7aUAAopZc.jpg;;in;I N D O N E S I A;11;51;144;https://x.com/Heraloebss/status/1868263379099611221;1,25182E+18;Heraloebss
1,86819E+18;Sun Dec 15 07:02:23 +0000 2024;150;Kami menolak usulan presiden @prabowo tentang pemilihan Gubernur Walikota dan Bupati di pilih oleh DPRD setempat. Apa artinya demokrasi jika hak rakyat dikebiri pak? https://t.co/7dNYW5AGz6;1,86819E+18;https://pbs.twimg.com/amplify_video_thumb/1868149736198565888/img/ARILq4H9CtxfBYMf.jpg;;in;Jamaica;7;23;54;https://x.com/lolina_321lagi/status/1868189848185753986;1,67766E+18;lolina_321lagi
