conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username;label
1924561158553457146;Mon May 19 20:21:51 +0000 2025;415;"So sweet Pak Prabowo dapat hadiah patung kucing dari perdana mentri Thailand sebagai sovenir kenang kenangan ketika berkunjung ke Thailand Senin 19 May . Karena mereka tau Pak Prabowo menyukai kucing &amp; punya kucing yg terkenal Bobby Kartanegara https://t.co/zAJNyAv5iZ";1924561158553457146;https://pbs.twimg.com/amplify_video_thumb/1924561082259025920/img/D9EHgU0d2lbzR0BV.jpg;;in;;4;34;38;https://x.com/liaasister/status/1924561158553457146;1637572714205421595;liaasister;positive
1924449378519113930;Mon May 19 15:27:41 +0000 2025;83;@jilulisme Dari pas doi dki 1 udah kerasa pendukungnya itu vibes nya sama dgn pendukung mulyono. Anti kritik bgt. Klo ada yg kritik lsg diserbu rame2. Pas di pilpres dukung doi karena ga ada pilihan laen jg sama kaya pas dukung prabowo lawan mulyono. Tp lucu nih di replies ga ada anak abah https://t.co/n37FMsYz6R;1924487130702897198;https://pbs.twimg.com/media/GrUm1_abwAABLeg.jpg;jilulisme;in;;1;11;5;https://x.com/ekwardo/status/1924487130702897198;67998517;ekwardo;positive
1924449819508318614;Mon May 19 15:22:11 +0000 2025;30;@AnKiiim_ Mohon Perhatiannya Pak @prabowo Bang @bang_dasco Pak @ListyoSigitP apakah proses hukum seperti ini patut terjadi di Negara Hukum Republik Indonesia ?;1924485744355369391;;AnKiiim_;in;;0;3;10;https://x.com/DodoSenang47202/status/1924485744355369391;1873302486074953728;DodoSenang47202;positive
1924382432712876402;Mon May 19 13:48:55 +0000 2025;14;@prabowo Kami senang-bangga Bpk Presiden di sambut hangat para kepala Negara sahabat. Disisi lain. berbagai berita Internasional Mengabarkan Rumah Sakit Indonesia di Gaza-Palestina di Bombardir Israel korban berjatuhan. Bapak Presiden kita harus mengecam keras Israel. Tdk boleh diam.;1924462272384311722;;prabowo;in;;0;3;4;https://x.com/yuddychrisnandi/status/1924462272384311722;85596149;yuddychrisnandi;positive
1924106498776731882;Mon May 19 13:33:07 +0000 2025;39;@hipohan Kami sbg warga Jabar masih percaya konsistensi kinerja Bapak Aing KDM. Dia pun ber kali2 ttp dukung Prabowo 2 periode krn dia besar jg salah satunya peran Hasyim Djoyohadikusumo. Tegas itu jd kami sdg menikmati kinerja Bapak Aing @KangDediMulyadi;1924458299338190976;;hipohan;in;;0;2;0;https://x.com/AgusHen70243817/status/1924458299338190976;886571246246273028;AgusHen70243817;positive
1924445636646277417;Mon May 19 13:31:07 +0000 2025;110;@kompascom Sebagai Ketua Dewan Pembina Grib ini pasti Prabowo bangga https://t.co/Hso5mNMWCf;1924457792775348572;https://pbs.twimg.com/media/GrUMKd3aAAAUUIM.jpg;kompascom;in;;0;2;14;https://x.com/fufu__fafa/status/1924457792775348572;1815889804632154115;fufu__fafa;positive
1924452225272942690;Mon May 19 13:08:59 +0000 2025;24;- keliatan kyk bapak2 polos tp cerdik - oportunistik - virus trojan alias penyusup dari 02 dia akrab sama prabowo suka muji dan melobi. awal debat jg ga gigit tapi gibran yg mulai manasin. begitu kelar balik lagi ke markas 02 wkwkwk misi sukses ;1924452225272942690;;;in;;0;0;0;https://x.com/outsidehike/status/1924452225272942690;267874855;outsidehike;positive
1924437294859329981;Mon May 19 12:09:40 +0000 2025;1383;Selalu mainannya NII PKI asing atau anarko. Tapi ga pernah dituduh PRRI/Permesta. Padahal asyik tuh sekelas sama bapaknya Mas Prabowo: Pak Soemitro Djojohadikusumo. https://t.co/iMhuqwRcr7;1924437294859329981;https://pbs.twimg.com/media/GrT4_r-WsAA6jFv.jpg;;in;;8;16;408;https://x.com/duc_of_nowhere/status/1924437294859329981;1795636356536008704;duc_of_nowhere;positive
1924427853468426509;Mon May 19 11:32:09 +0000 2025;232;Perasaan kemaren2 Pak @prabowo semangat betul mau lanjut ke 2029 Knapa tetiba berubah? Bahkan menginstruksikan kader @Gerindra utk tidak membahas wacana 2 periode Dn ada warning ttg Gibran? Wow...menarik Malam X-Land met istirahat sembari ngemil apalah https://t.co/kzkPHE0heZ;1924427853468426509;https://pbs.twimg.com/amplify_video_thumb/1924427604012011520/img/MDS3FBBcFEn42GAq.jpg;;in;;2;21;92;https://x.com/AiraNtieReal/status/1924427853468426509;1428002673815482369;AiraNtieReal;positive
1924389581727916509;Mon May 19 10:58:33 +0000 2025;60;@ARSIPAJA Selama presidennya masih prabowo saya haqqul yakin budi arie gak masuk penjara;1924419398854705295;;ARSIPAJA;in;;0;4;1;https://x.com/ndrypd/status/1924419398854705295;1044605214412562432;ndrypd;positive
1924351630511907200;Mon May 19 06:29:16 +0000 2025;78;Cuma Antek² ORBA yg bilang lebih enak hidup di zaman Suharto Bangun woy‼️ Zaman @jokowi n @prabowo jauh lebih enak lg Zaman Suharto ada internet ? Zaman megawati kita sangat maju saking majunya bisa jual indosat Zaman wowi buzzer dapt jabatan Bisa rangkep jabatan ️;1924351630511907200;;;in;;2;28;15;https://x.com/B_dzoel/status/1924351630511907200;1351722821009829890;B_dzoel;positive
1924320781099802995;Mon May 19 06:11:51 +0000 2025;75;@Auto___Revo Subsidinya untuk orang kaya. Mobil ini harganya 1 M. @KemenkeuRI @prabowo keadilan sosial bagi seluruh rakyat Indonesia tai ledig;1924347247988486639;;Auto___Revo;in;;0;1;10;https://x.com/Anexartitianti/status/1924347247988486639;1487451720003190788;Anexartitianti;positive
1924325611084157296;Mon May 19 05:28:31 +0000 2025;14;@CHARLIExCHANDRA @POLDABANTEN @prabowo @DPR_RI YNWA ... Anda nggak sendirian pak Charlie @CHARLIExCHANDRA . Kita akan selalu ribut untuk anda...;1924336342701666626;;CHARLIExCHANDRA;in;;0;0;3;https://x.com/moejeep_pelung/status/1924336342701666626;44835119;moejeep_pelung;positive
1924107193181503522;Mon May 19 01:41:48 +0000 2025;76;@ardisatriawan Soal Pidato Soekarno keliatan berkharisma n setiap Pidato pun ada nilai filosofisnya. Kalo bukan karna orator juga ga mungkin semangat juang menggebu2. Jangan samain lah kek Prabowo yang terobsesi sama Bung Karno padahal jauh panggang dari api. Berapi2 tapi isinya melantur haha;1924279290360959427;;ardisatriawan;in;;0;0;2;https://x.com/FelixSGL1/status/1924279290360959427;2862109627;FelixSGL1;positive
1924276466331926724;Mon May 19 01:30:35 +0000 2025;2135;Shalawat Tarhim ini biasa menjelang subuh tuh enak banget masuk ketelinga.. ternyata beliau pemilik suara merdu syahdu itu.. Ustadz Zulkarnain https://t.co/x00ZuvKTcp;1924276466331926724;https://pbs.twimg.com/amplify_video_thumb/1924276104312823808/img/IfSjsSnFoO-kaXCV.jpg;;in;;11;27;478;https://x.com/JHPrabowo/status/1924276466331926724;158912165;JHPrabowo;positive
1924270561888551187;Mon May 19 01:07:07 +0000 2025;15; Hampir tiap hari kita membongkar kasus-kasus korupsi dan tidak akan berhenti. Saya dapat laporan ada yang rumahnya didatangi ada yang mobilnya diikuti ada yang rumahnya difoto kita paham itu. Kita tidak gentar kata Prabowo. https://t.co/S5jtYu60xn;1924270561888551187;;;in;;0;9;6;https://x.com/republikaonline/status/1924270561888551187;22126902;republikaonline;positive
1924125844030845299;Sun May 18 21:22:36 +0000 2025;233;@BosPurwa Segurih ocehannya tentang @prabowo https://t.co/WazYIwXZmt;1924214059463061851;https://pbs.twimg.com/amplify_video_thumb/1924213997152165888/img/R4f5g7jfpI4bYoWI.jpg;BosPurwa;in;;13;45;89;https://x.com/AriskaPutraS/status/1924214059463061851;1603536827725811712;AriskaPutraS;positive
1924118887270076900;Sun May 18 15:04:25 +0000 2025;266;"Tak kira semakin botak semakin pintar ternyata TIDAK... Ini ada patung Pak SBY Megawati &amp; Pak Prabowo mereka semuanya masih sehat selalu yooo... https://t.co/F6K23jYS7W";1924118887270076900;https://pbs.twimg.com/media/GrPWs3AWMAAwGs6.jpg;;in;;4;54;59;https://x.com/tham878/status/1924118887270076900;1759100655783043072;tham878;positive
1923978103409324276;Sun May 18 09:44:19 +0000 2025;29;@ARSIPAJA Masih berasa presiden anehnya dikasih wadah oleh beberapa orang (yg masih temannya) entah itu media dan maupun aparat dan perangkat desa dll yg pernah jadi pembantu semasa dia berkuasa Prabowo jg engga ngapa- ngapain ngebiarin yoweslah. Berasa punya 2 presiden;1924038331727515893;;ARSIPAJA;in;;0;2;2;https://x.com/anomyhae/status/1924038331727515893;1450056695728664576;anomyhae;positive
1923942292790169706;Sun May 18 07:57:59 +0000 2025;10;@STresnowati1 @prabowo @jokowi Akan Lebih Baik Gelar Persidangan Secara Live diliput dan di Rely on oleh Station2 TV Agar Semua Rakyat mengetahui dan tidak ada Rekayasa Persidangan. Baru Benar2 FAIR. Oke dong Pak Presiden @prabowo ?!;1924011569341677582;;STresnowati1;in;;0;2;5;https://x.com/carlitovito180/status/1924011569341677582;1637692626215501824;carlitovito180;positive
1923741128827994149;Sun May 18 05:18:26 +0000 2025;43;@zhigaraki Satu lagi Prabowo lebih milih Ifan Seventeen buat jadi dirut PFN dibanding Lukman Sardi yang ada pengalaman banyak di dunia perfilman wkwkwk;1923971418695581928;;zhigaraki;in;;0;1;1;https://x.com/TilloM77/status/1923971418695581928;1799799483733286912;TilloM77;positive
