conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username;label
1913581991964119239;Sat Apr 19 23:06:45 +0000 2025;44;@francmohede @prabowo Oke akhirnya saya tau kenapa TNI UU diperkuat ya karena prabowo tidak bisa menyingkirkan geng jokowi dari polri.. Wah rame nih polri vs TNI sedangkan damkar nonton sambil makan popcorn;1913731020710613403;;francmohede;in;;0;2;0;https://x.com/aniiq313/status/1913731020710613403;1747905668106051584;aniiq313;positive
1913564673590370803;Sat Apr 19 21:08:49 +0000 2025;58;@jillcarrisa @BudiBukanIntel Bukan wapres tapi presiden ke 1 Prabowo ke 2 sekaligus tangan kanan Jokowi tapi kaum 58% tetap bangga;1913701342872555833;;jillcarrisa;in;;0;1;1;https://x.com/BJ94471906/status/1913701342872555833;1500834205198028800;BJ94471906;positive
1913575737090818520;Sat Apr 19 15:16:31 +0000 2025;75;@fhinoalfhian @prabowo Nanti jawabnya wajar kok sikap menghormati ;1913612681933975646;;fhinoalfhian;in;;0;3;0;https://x.com/Mdy_Asmara1701/status/1913612681933975646;1334853481019056128;Mdy_Asmara1701;positive
1913554739612328038;Sat Apr 19 11:26:16 +0000 2025;16;Ada 5 kementrian yg merupakan tim ekonomi nasional.. dan masih loyal pada Jokowi... Termasuk ketua Dewan Ekonomi Nasional Jangan2.. lemahnya perekonomian kepemimpinan @prabowo emang skenario.. big design... ya utk apalagi kalau bukan.......????? Hidup jokowi.... https://t.co/y5YrjlwRhO;1913554739612328038;https://pbs.twimg.com/media/Go5P4t8bMAEN4eU.jpg;;in;;0;1;4;https://x.com/FayaAtika/status/1913554739612328038;1450733210074161153;FayaAtika;positive
1913420721466069487;Sat Apr 19 02:33:44 +0000 2025;25;Aku ngebayangin..Jokowi gelar rapat kabinet di rumahnya dengan agenda menyoroti ketidak tegasan @prabowo mensikapi berbagai persoalan... Kalian Pasti setuju https://t.co/es02WfpEST;1913420721466069487;https://pbs.twimg.com/media/Go3WADsa0AAwbcX.jpg;;in;;2;6;6;https://x.com/FayaAtika/status/1913420721466069487;1450733210074161153;FayaAtika;positive
1913395844591886484;Sat Apr 19 00:54:53 +0000 2025;25;kita masih mending semua negara juga kena kenaikan tariff negara lain yg lebih besar jg banyak kamboja 49% myanmar 48% lesotho 50% china malah kena 100% lebih kalo pak @prabowo ga gercep nego kita bisa kena lebih gede lagi TERIMA KASIH PAK PRABOWO;1913395844591886484;;;in;;0;5;1;https://x.com/jondhez/status/1913395844591886484;2990543688;jondhez;positive
1913356683256184899;Fri Apr 18 22:19:16 +0000 2025;105;Prabowo itu adalah type pemimpin yang mengedepankan prinsip omon-omon dulu urusan belakangan. Contohnya MBG berawal dari omon omon engga pake mikir sekarang urusannya ribet lalu masalah TKDN. Dan itu masih bisa terjadi saat kunjungan kenegaraan ataupun di forum2 lainnya.;1913356683256184899;;;in;;1;31;48;https://x.com/abu_waras/status/1913356683256184899;2905814730;abu_waras;positive
1913216338644066520;Fri Apr 18 15:36:54 +0000 2025;259;@dhatuputra @grok @zettoyu @keharyapatihan @prabowo Indonesia Gelap bagaimana? Saya bangun pagi cerah ( Mr. Omon );1913255423144268016;;dhatuputra;in;;0;2;4;https://x.com/mantan_ordal/status/1913255423144268016;2311901628;mantan_ordal;positive
1913135047894503512;Fri Apr 18 13:19:33 +0000 2025;24;@IndoPopBase Kenapa gak 58% aja biar lebih membanggakan bagi presiden ndasmu wowo @prabowo ;1913220857616584968;;IndoPopBase;in;;0;0;1;https://x.com/AnKiiim_/status/1913220857616584968;1603276472814567425;AnKiiim_;positive
1913107338854273288;Fri Apr 18 05:48:28 +0000 2025;42;Presiden Prabowo tidak hanya memberi perintah tapi juga memberi panggung bagi Maung buatan PT Pindad dan menjadikan kendaraan dalam negeri sebagai simbol kepemimpinannya dan simbol bahwa Indonesia mampu memproduksi mobil yg kuat dan nyaman. https://t.co/EhctRTSCRk;1913107338854273288;https://pbs.twimg.com/ext_tw_video_thumb/1913107304519704576/pu/img/WES0PSRwjS0hDiq0.jpg;;in;;4;18;10;https://x.com/99propaganda/status/1913107338854273288;1427095335084515333;99propaganda;positive
