full_text,label
Anggota DPR Komisi II Komarudin WatoBun menilai Presiden Prabowo perlu bersikap tegas menanggapi tuntutan purnawirawan TNI terkait pergantian wapres Gibran. . . . . Selasa wujud bakti nyata BUMN Baila DUNIA FATTZAR BERGOYANG 148 May Day. https://t.co/Zc1zcdm6KQ,neutral
Senin sore (28/4) saya menghadiri undangan pertemuan pengurus Badan Pengelola Investasi Danantara bersama seluruh jajaran direksi BUMN. Kami menerima arahan Bapak Presiden @prabowo mengenai pengelolaan investasi strategis untuk semakin memperkuat ketahanan ekonomi nasional. https://t.co/wuOmIRPIXW,neutral
Dulu LBP bgitu kejam ke Presiden @prabowo bahkan dihancurkan sehancur2nya pdhl sesama dr militer sesama dr Kopassus. Skrg LBP berbalik memuja-muji sungguh jabatan bisa membuatmu munafik! https://t.co/avzTCuknx3,negative
Karena saya cinta Polri makanya saya kritik. Untuk oknum polisi yang bermain-main dengan kasus narkoba tolong ditindak tegas. Narkoba musuh bersama. Perangi Narkoba termasuk Asta Cita Presiden Prabowo. --- Pink BUMN Vasektomi Gray KimHyeYoon_Baeksang2025 Mahae Danantara https://t.co/5cFOuxxovO,neutral
Setuju untuk mas Angga Raka Prabowo menjadi Jubir Presiden. Selain sudah lama banget bersama2 Pak Prabowo sehingga mampu menerjemahkan maksud beliau secara lebih baik juga cara berbicaranya runtun dan tenang. https://t.co/AqaSjDeiMx,positive
Presiden Prabowo Subianto berencana membentuk 80 ribu unit Koperasi Desa Merah Putih. KUD pernah gagal di masa Orde Baru jadi cermin susahnya membangun koperasi profesional di desa. Kini dana besar dikelola oleh politikus. Untuk siapa sesungguhnya program ini dibuat? https://t.co/WZtKPqgWRK,neutral
@FFeby03 Prabowo itu suka ga suka udah jadi presiden KDM ada kans untuk jadi presiden Masak abis kenak prabowo kena KDM lagi. Mana sebelumnya mulyono Azab dosa apa,negative
 Jika Prabowo tak berani menegakkan marwah demokrasi dan konstitusi dengan memutus relasi kuasa Jokowi melalui Gibran maka kita patut curiga: apakah Prabowo sungguh presiden atau hanya simbol dari perpanjangan tangan kekuasaan lama? Ini bukan soal suka atau tidak suka. Ini https://t.co/BquD38gUGr,negative
Bagus juga nih idenya Berbeda dg konsep Makan Bergizi Gratisnya @prabowo Gubernur Jabar @DediMulyadi71 punya konsep sendiri yaitu memberikan uangnya kpd orang tua siswa. Masalahnya Presiden @prabowo akan setuju atau tidak dan anggaran 15rb/siswa bakal disetujui oleh @Menkeu ? https://t.co/fxdHJS8GeA,positive
Kalau ada yang tanya siapa sih yang seharusnya diidolakan maka jawabannya adalah Bapak Presiden Prabowo.,neutral
