full_text,text_processed,text_processed1,label,score,panjang
OK gas ...Indonesia Emas nih pak @prabowo @gibran_tweet l berkas kerja keras kalian kita memimpin klasemen pengangguran ke 1 di Asean. Kinerja kalian sangat memuaskan mayoritas para pengangguran. Siapa yang yg hendak kalian utus untuk menerima penghargaan ini ?,gas indonesia emas prabowo berkas kerja keras pimpin klasemen anggur asean kerja muas mayoritas anggur utus terima harga,ok gas indonesia emas nih pak prabowo gibran tweet berkas kerja keras kalian kita memimpin klasemen pengangguran ke di asean kinerja kalian sangat memuaskan mayoritas para pengangguran siapa yang yang hendak kalian utus untuk menerima penghargaan ini,neutral,0.9638677835464478,18
@DedynurPalakka Kinerja? Emang pernah dikasih tugas atau misi apa sm prabowo?,kerja emang kasih tugas misi prabowo,dedynurpalakka kinerja emang pernah dikasih tugas atau misi apa sm prabowo,neutral,0.9949634075164796,6
@Lembayung071 @gibran_tweet @prabowo @setkabgoid @KemensetnegRI Sy belum lihat apa kinerja gibran,prabowo lihat kerja gibran,lembayung gibran tweet prabowo setkabgoid kemensetnegri sy belum lihat apa kinerja gibran,negative,0.9914268255233764,4
@Mdy_Asmara1701 bukannya seharusnya puas kinerja pak prabowo.. koq jadi agak gimana gitu...,puas kerja prabowo koq gimana,mdy asmara bukannya seharusnya puas kinerja pak prabowo koq jadi agak gimana gitu,neutral,0.9581500887870787,5
@Mdy_Asmara1701 Survey abal-abal; apa kinerja yang sudah dilakukan prabowo gibran selain kepatuhan kepada presiden terdahulu?,survey abal abal kerja prabowo gibran patuh presiden,mdy asmara survey abal abal apa kinerja yang sudah dilakukan prabowo gibran selain kepatuhan kepada presiden terdahulu,neutral,0.9543121457099916,8
@ferizandra T*lol semua akun buzzer ku kira anak abah itu objektif kritis ke Prabowo ternyata ngeliat kinerja KDM yg bagus langsung keringat dingin g mau nama Anies tenggelam langsung di framing macem ,lol akun buzzer anak abah objektif kritis prabowo ngeliat kerja kdm bagus langsung keringat dingin nama anies tenggelam langsung framing macem,ferizandra lol semua akun buzzer ku kira anak abah itu objektif kritis ke prabowo ternyata ngeliat kinerja kdm yang bagus langsung keringat dingin mau nama anies tenggelam langsung di framing macem,neutral,0.9522444605827332,21
kinerja Gibran oke punya semoga terus meningkat https://t.co/U5hOvetaVV,kerja gibran oke moga tingkat,kinerja gibran oke punya semoga terus meningkat,neutral,0.9892143607139589,5
Sri Mulyani Temui Prabowo di Istana Mau Lapor Hasil Negosiasi Tarif Trump dan Kinerja APBN / #srimulyani #prabowo https://t.co/jPFZZST4Cj,sri mulyani temu prabowo istana lapor hasil negosiasi tarif trump kerja apbn srimulyani prabowo,sri mulyani temui prabowo di istana mau lapor hasil negosiasi tarif trump dan kinerja apbn srimulyani prabowo,negative,0.96373051404953,14
Sri Mulyani Bertemu Prabowo di Istana Lapor Hasil Negosiasi Tarif Trump dan Kinerja APBN https://t.co/8XhgbfNLkj,sri mulyani temu prabowo istana lapor hasil negosiasi tarif trump kerja apbn,sri mulyani bertemu prabowo di istana lapor hasil negosiasi tarif trump dan kinerja apbn,neutral,0.9562186598777772,12
Survei terbaru dari Rumah Politik Indonesia (RPI) mengungkapkan bahwa 76 5% responden menyatakan puas terhadap kinerja pemerintahan Presiden Prabowo Subianto dan Wakil Presiden Gibran Rakabuming Raka dalam enam bulan pertama masa jabatan mereka. Temuan ini menandai tingkat https://t.co/5tPpstH1Vk,survei baru rumah politik indonesia rpi responden puas kerja perintah presiden prabowo subianto wakil presiden gibran rakabuming raka enam jabat temu tanda tingkat,survei terbaru dari rumah politik indonesia rpi mengungkapkan bahwa responden menyatakan puas terhadap kinerja pemerintahan presiden prabowo subianto dan wakil presiden gibran rakabuming raka dalam enam bulan pertama masa jabatan mereka temuan ini menandai tingkat,neutral,0.9666168093681335,23
Hasil survei terbaru Rumah Politik Indonesia menunjukkan menunjukkan mayoritas publik puas dengan kinerja wakil presiden Gibran Rakabuming Raka di semester pertama pemerintahan Prabowo Subianto dan Gibran Rakabuming Raka. Berdasarkan hasil survei sebanyak 79 8 persen masyarakat https://t.co/DmVkERNJTC,hasil survei baru rumah politik indonesia mayoritas publik puas kerja wakil presiden gibran rakabuming raka semester perintah prabowo subianto gibran rakabuming raka dasar hasil survei persen masyarakat,hasil survei terbaru rumah politik indonesia menunjukkan menunjukkan mayoritas publik puas dengan kinerja wakil presiden gibran rakabuming raka di semester pertama pemerintahan prabowo subianto dan gibran rakabuming raka berdasarkan hasil survei sebanyak persen masyarakat,positive,0.9502613544464112,27
