Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,full_text,label,score,text_processed
0,0,0,OK gas ...Indonesia Emas nih pak @prabowo @gibran_tweet l berkas kerja keras kalian kita memimpin klasemen pengangguran ke 1 di Asean. Kinerja kalian sangat memuaskan mayoritas para pengangguran. Siapa yang yg hendak kalian utus untuk menerima penghargaan ini ?,neutral,0.9896456003189088,gas indonesia emas prabowo berkas kerja keras pimpin klasemen anggur asean kerja muas mayoritas anggur utus terima harga
1,1,1,@uglygrunge1798 @Heraloebss @prabowo @gibran_tweet Ngga ada hubungannya terpilihnya presiden dan wapres dengan kepuasan setelah mereka terpilih. Emangnya kalo sudah terpilih warga indonesia harus dipaksa puas gitu? Ya ngga lah. Kepuasan itu hubungannya dengan kinerja setelah mereka terpilih. Kamu harus move on dari pemilu!,neutral,0.7710304260253906,prabowo ngga hubung pilih presiden wapres puas pilih emang kalo pilih warga indonesia paksa puas ngga puas hubung kerja pilih move milu
2,2,2,@DedynurPalakka Kinerja? Emang pernah dikasih tugas atau misi apa sm prabowo?,neutral,0.9974718689918518,kerja emang kasih tugas misi prabowo
3,3,3,@txtdrimedia Kinerja?? Emang dikasi tugas apa sm prabowo?,neutral,0.9917762279510498,kerja emang kasi tugas prabowo
4,4,4,@uglygrunge1798 @Heraloebss @prabowo @gibran_tweet Demokrasi dan tupoksi kinerja NDASMU pemimpin yg tdk bisa me-manage bawahan mk hsl kerja tdk benar,neutral,0.858847975730896,prabowo demokrasi tupoksi kerja ndasmu pimpin tdk manage bawah hsl kerja tdk
5,5,5,Ini begitu buruknya kinerja gubernur kalimantan selatan bupati @DivHumas_Polri pk @ListyoSigitP DPRD akhirnya ormas grib mewakili karyawan untuk selesaikan kewajiban kep @MahkamahAgung Cc @prabowo @habiburokhman @Yusrilihza_Mhd @bahlillahadalia @msaid_didu @DPR_RI @JimlyAs,neutral,0.9379888772964478,buruk kerja gubernur kalimantan selatan bupati dprd ormas grib wakil karyawan selesai wajib kep prabowo
6,6,6,Lembaga riset independen IndoStrategi merilis hasil riset evaluasi kinerja kabinet Prabowo-Gibran dan mengidentifikasi 10 menteri denga performa tertinggi. #kabinetprabowogibran #risetindostrategi https://t.co/aw4DdFvPyW,negative,0.8530964255332947,lembaga riset independen indostrategi rilis hasil riset evaluasi kerja kabinet prabowo gibran identifikasi menteri denga performa tinggi kabinetprabowogibran risetindostrategi
7,7,7,@Lembayung071 @gibran_tweet @prabowo @setkabgoid @KemensetnegRI Sy belum lihat apa kinerja gibran,neutral,0.5595170259475708,prabowo lihat kerja gibran
8,8,8,@Mdy_Asmara1701 bukannya seharusnya puas kinerja pak prabowo.. koq jadi agak gimana gitu...,neutral,0.9946706891059875,puas kerja prabowo koq gimana
9,9,9,@Mdy_Asmara1701 Survey abal-abal; apa kinerja yang sudah dilakukan prabowo gibran selain kepatuhan kepada presiden terdahulu?,neutral,0.9968308806419371,survey abal abal kerja prabowo gibran patuh presiden
10,10,10,@mandalika1487 @Anak__Ogi T*lol semua akun buzzer ku kira anak abah itu objektif kritis ke Prabowo ternyata ngeliat kinerja KDM yg bagus langsung keringat dingin g mau nama Anies tenggelam langsung di framing macem ,neutral,0.9747774004936218,lol akun buzzer anak abah objektif kritis prabowo ngeliat kerja kdm bagus langsung keringat dingin nama anies tenggelam langsung framing macem
11,11,11,@ferizandra T*lol semua akun buzzer ku kira anak abah itu objektif kritis ke Prabowo ternyata ngeliat kinerja KDM yg bagus langsung keringat dingin g mau nama Anies tenggelam langsung di framing macem ,neutral,0.786523163318634,lol akun buzzer anak abah objektif kritis prabowo ngeliat kerja kdm bagus langsung keringat dingin nama anies tenggelam langsung framing macem
