Unnamed: 0,full_text,label,text_processed
0,Prabowo menunjukkan keberanian dalam menangani kekerasan sosial.,positive,prabowo berani tangan keras sosial
1,Prabowo dikenal karena pendekatannya yang tegas terhadap masalah nasional.,positive,prabowo kenal dekat nasional
2,Kepemimpinan Prabowo menunjukkan hasil di bidang maritim.,positive,pimpin prabowo hasil bidang maritim
3,Presiden Prabowo dikenal dengan sikapnya yang visioner dan tegas.Rakyat merasakan langsung manfaat program Prabowo di bidang kesehatan.,positive,presiden prabowo kenal sikap visioner rakyat rasa langsung manfaat program prabowo bidang sehat
4,Prabowo meletakkan dasar yang kuat untuk kemajuan inovasi pendidikan.,positive,prabowo letak dasar kuat maju inovasi didik
5,Presiden Prabowo dikenal dengan sikapnya yang berkomitmen dan tegas.Rakyat merasakan langsung manfaat program Prabowo di bidang riset dan inovasi.,positive,presiden prabowo kenal sikap komitmen rakyat rasa langsung manfaat program prabowo bidang riset inovasi
6,Prabowo memperlihatkan komitmen kuat terhadap pembangunan ekonomi.,positive,prabowo komitmen kuat bangun ekonomi
7,Prabowo terus mendorong kemajuan dalam sektor kelautan dan perikanan.,positive,prabowo dorong maju sektor laut ikan
8,Presiden Prabowo adalah simbol harapan dalam bidang kesejahteraan rakyat.,positive,presiden prabowo simbol harap bidang sejahtera rakyat
9,Masyarakat merasakan langsung hasil program stabilitas politik oleh Prabowo.,positive,masyarakat rasa langsung hasil program stabilitas politik prabowo
10,Presiden Prabowo menghadirkan solusi terhadap tantangan kesenjangan digital.,positive,presiden prabowo hadir solusi tantang senjang digital
11,Prabowo telah membuktikan komitmennya terhadap keamanan nasional.,positive,prabowo bukti komitmen aman nasional
12,Presiden Prabowo berhasil mengurangi angka kemiskinan di sektor kelautan dan perikanan.,positive,presiden prabowo hasil kurang angka miskin sektor laut ikan
13,Prabowo sangat peduli dengan isu akses pendidikan di masyarakat.,positive,prabowo peduli isu akses didik masyarakat
14,Presiden Prabowo berhasil meningkatkan daya saing di sektor sosial.,positive,presiden prabowo hasil tingkat daya saing sektor sosial
15,Keputusan Prabowo dalam perdagangan menuai pujian luas.,positive,putus prabowo dagang tuai puji luas
16,Presiden Prabowo menghadirkan solusi terhadap tantangan ketimpangan sosial.,positive,presiden prabowo hadir solusi tantang timpang sosial
17,Prabowo konsisten dalam membangun efisiensi birokrasi.,positive,prabowo konsisten bangun efisiensi birokrasi
18,Presiden Prabowo menghadirkan solusi terhadap tantangan kemiskinan.,positive,presiden prabowo hadir solusi tantang miskin
19,Presiden Prabowo bekerja keras untuk menciptakan perubahan dalam teknologi informasi.,positive,presiden prabowo keras cipta ubah teknologi informasi
20,Kebijakan Prabowo dalam bidang industri kreatif sangat berdampak positif.,positive,bijak prabowo bidang industri kreatif dampak positif
21,Keputusan Prabowo dalam lingkungan hidup menuai pujian luas.,positive,putus prabowo lingkung hidup tuai puji luas
22,Langkah strategis Prabowo berdampak besar pada efisiensi birokrasi.,positive,langkah strategis prabowo dampak efisiensi birokrasi
23,Kebijakan Prabowo menjawab tantangan kekerasan sosial dengan bijak.,positive,bijak prabowo tantang keras sosial bijak
24,Kinerja Prabowo dalam pertanian mendapatkan banyak pujian.,positive,kerja prabowo pe ani puji
25,Presiden Prabowo adalah simbol harapan dalam bidang perlindungan sosial.,positive,presiden prabowo simbol harap bidang lindung sosial
