Unnamed: 0,full_text,text_processed
0,OK gas ...Indonesia Emas nih pak @prabowo @gibran_tweet l berkas kerja keras kalian kita memimpin klasemen pengangguran ke 1 di Asean. Kinerja kalian sangat memuaskan mayoritas para pengangguran. Siapa yang yg hendak kalian utus untuk menerima penghargaan ini ?,ok gas indonesia emas nih l berkas kerja keras pimpin klasemen anggur asean kerja muas mayoritas anggur yg utus terima harga
1,@uglygrunge1798 @Heraloebss @prabowo @gibran_tweet Ngga ada hubungannya terpilihnya presiden dan wapres dengan kepuasan setelah mereka terpilih. Emangnya kalo sudah terpilih warga indonesia harus dipaksa puas gitu? Ya ngga lah. Kepuasan itu hubungannya dengan kinerja setelah mereka terpilih. Kamu harus move on dari pemilu!,ngga hubung pilih presiden wapres puas pilih emang kalo pilih warga indonesia paksa puas gitu ya ngga puas hubung kerja pilih move on milu
2,@DedynurPalakka Kinerja? Emang pernah dikasih tugas atau misi apa sm prabowo?,kerja emang kasih tugas misi sm prabowo
3,@txtdrimedia Kinerja?? Emang dikasi tugas apa sm prabowo?,kerja emang kasi tugas sm prabowo
4,@uglygrunge1798 @Heraloebss @prabowo @gibran_tweet Demokrasi dan tupoksi kinerja NDASMU pemimpin yg tdk bisa me-manage bawahan mk hsl kerja tdk benar,demokrasi tupoksi kerja ndasmu pimpin yg tdk me manage bawah mk hsl kerja tdk
5,Ini begitu buruknya kinerja gubernur kalimantan selatan bupati @DivHumas_Polri pk @ListyoSigitP DPRD akhirnya ormas grib mewakili karyawan untuk selesaikan kewajiban kep @MahkamahAgung Cc @prabowo @habiburokhman @Yusrilihza_Mhd @bahlillahadalia @msaid_didu @DPR_RI @JimlyAs,buruk kerja gubernur kalimantan selatan bupati pk dprd ormas grib wakil karyawan selesai wajib kep cc
6,Lembaga riset independen IndoStrategi merilis hasil riset evaluasi kinerja kabinet Prabowo-Gibran dan mengidentifikasi 10 menteri denga performa tertinggi. #kabinetprabowogibran #risetindostrategi https://t.co/aw4DdFvPyW,lembaga riset independen indostrategi rilis hasil riset evaluasi kerja kabinet prabowo gibran identifikasi menteri denga performa te inggi
7,@Lembayung071 @gibran_tweet @prabowo @setkabgoid @KemensetnegRI Sy belum lihat apa kinerja gibran,sy lihat kerja gibran
8,@Mdy_Asmara1701 bukannya seharusnya puas kinerja pak prabowo.. koq jadi agak gimana gitu...,puas kerja prabowo koq gimana gitu
9,@Mdy_Asmara1701 Survey abal-abal; apa kinerja yang sudah dilakukan prabowo gibran selain kepatuhan kepada presiden terdahulu?,survey abal abal kerja prabowo gibran patuh presiden
10,@mandalika1487 @Anak__Ogi T*lol semua akun buzzer ku kira anak abah itu objektif kritis ke Prabowo ternyata ngeliat kinerja KDM yg bagus langsung keringat dingin g mau nama Anies tenggelam langsung di framing macem ,t lol akun buzzer ku anak abah objektif kritis prabowo ngeliat kerja kdm yg bagus langsung keringat dingin g nama anies tenggelam langsung framing macem
11,@ferizandra T*lol semua akun buzzer ku kira anak abah itu objektif kritis ke Prabowo ternyata ngeliat kinerja KDM yg bagus langsung keringat dingin g mau nama Anies tenggelam langsung di framing macem ,t lol akun buzzer ku anak abah objektif kritis prabowo ngeliat kerja kdm yg bagus langsung keringat dingin g nama anies tenggelam langsung framing macem
12,Kinerja 10 tahun jokowi ini pak @prabowo maka dgn segala hormat kami mohon kpd pak prabowo ..tlg jgn lindungi &amp; halang²i rakyat utk menuntut adili jokowi krn sdh banyak sekali kerusakan yg sdh dibuatnya bgs bpk dgr saran dari senior dan junior bapak para purnawirawan TNI,kerja jokowi dgn hormat mohon kpd prabowo tlg jgn lindung amp halang i rakyat utk tuntut adil jokowi krn sdh rusa yg sdh bgs bpk dgr saran senior junior purnawirawan tni
13,kinerja Gibran oke punya semoga terus meningkat https://t.co/U5hOvetaVV,kerja gibran oke moga tingkat
