,Unnamed: 0,full_text,label,score
2,2,@DedynurPalakka Kinerja? Emang pernah dikasih tugas atau misi apa sm prabowo?,neutral,0.9974718689918518
9,9,@Mdy_Asmara1701 Survey abal-abal; apa kinerja yang sudah dilakukan prabowo gibran selain kepatuhan kepada presiden terdahulu?,neutral,0.9968308806419373
22,22,@kuatji @pandji Hasan Nasbi mundur sebagai Kepala PCO karena masalah kinerja terutama setelah insiden kepala babi dikirim ke Tempo. Tanggapannya yang kontroversial menyarankan untuk memasak saja menuai kritik publik dan Presiden Prabowo yang menyebutnya ceroboh. Pandji Pragiwaksono ,positive,0.9859206080436707
25,25,@NenkMonica Mending fokus awasi kinerja Pemerintah Terutama janji janji politik @prabowo Jangan biarkan umbar janji kemudian seenaknya diabaikan,positive,0.9906333684921265
26,26,@BANGSAygSUJUD @prabowo @tham878 @romoatheist @kiwalipitu @Kimberley_PS08 @hasanudinsajid @gtobing2903 @FDonghun @EdySularno96489 @awikuchuz Kinerja pemerintahan Prabowo Gibran semakin nyata Indonesiaku 🇮🇩,negative,0.992708146572113
30,30,senang bgt liat masyarakat puas sm kinerja Gibran https://t.co/5BwfoFb5dw,negative,0.982296884059906
32,32,@arianadyani @tempodotco Ketegasan Prabowo akan mendongkrak kinerja BUMN.,negative,0.978569507598877
56,56,Presiden Prabowo tegaskan untuk mengganti direksi BUMN yang tidak efisien. Hal ini merupakan komitmen pemerintah untuk memperbaiki kinerja BUMN demi kemajuan ekonomi Indonesia https://t.co/4zm4IS4KR9,positive,0.9690257906913757
62,62,Saat menghadiri Townhall Meeting Danantara bersama BUMN pada Senin (28/4) Presiden Prabowo Subianto memerintahkan manajemen BUMN dan Danantara untuk mengevaluasi kinerja jaja ran direksi. Prabowo juga meninta jajaran direksi diisi dengan orang-orang yang profesional bukan https://t.co/Tl9yRJHnUE,positive,0.9882937669754028
65,65,setuju bgt Pak Prabowo! Pemimpin yg tegas dan transparan sangat dibutuhkan di BUMN. Evaluasi berkala bakal bikin kinerja makin optimal https://t.co/vJlOGIYpcY,positive,0.9802549481391907
67,67,setuju banget pak Prabowo! Evaluasi direksi BUMN penting buat tingkatkan kinerja dan cegah penyalahgunaan. Semoga langkah ini bikin BUMN makin maju. Sukses ya Pak https://t.co/bkvcYaVr0T,positive,0.8488064408302307
68,68,dukung penuh keputusan Pak Prabowo! Evaluasi kerja direksi penting utk perbaikan kinerja BUMN. Semoga kebijakan ini bawa perubahan positif https://t.co/doq02GSnfQ,positive,0.8405529260635376
72,72,Akhirnya kita saling melengkapi Kinerja pemerintahan Prabowo Gibran sudah menampakkan hasil ketahanan pangan akan segera terwujud melalui swasembada beras SKYNANI MIRINDA PRESENTERS,neutral,0.9976804256439209
74,74,Presiden Prabowo Subianto menegaskan pentingnya kinerja dan integritas di tubuh BUMN. Ia mewarning para direksi agar meninggalkan praktik tak efisien dan tidak menunjukkan kemalasan. Evaluasi kinerja wajib dilakukan tapi penunjukan direksi tetap harus profesional. https://t.co/RleY9yo9Jm,positive,0.8651226162910461
76,76,Presiden Prabowo Subianto memerintahkan manajemen BUMN dan Danantara untuk mengevaluasi kinerja jajaran direksi. Presiden Prabowo tidak ingin ada direksi yang menyalahgunakan kewenangan dan meminta jajaran direksi diisi orang-orang profesional. #presidenprabowo #prabowo https://t.co/ErjE9fhslB,positive,0.91533362865448
78,78,Presiden Prabowo meminta seluruh jajaran direksi BUMN untuk meninggalkan praktik-praktik lama yang tidak efisien maupun yang menyimpang. Ia menegaskan bahwa evaluasi kinerja direksi harus dilakukan secara menyeluruh termasuk penilaian terhadap integritas dan profesionalisme.,positive,0.8866674900054932
79,79,844 BUMN Bergabung dengan Danantara Prabowo Minta Kinerja Hingga Akhlak Jajaran Direksi Dievaluasi #TribunKaltim #Danantara #Prabowo #BUMN https://t.co/t8vT4LhZpn lewat @tribunnews,positive,0.8346034288406372
87,87,@prabowo mau berapa banyak lagi peraturan yang dilanggar? kritik masyarakat tidak pernah didengar semakin hari semakin buruk kinerja pemerintahan elu. Indonesia punya ±280jt penduduk JANGAN SEENAKNYA MENGHANCURKAN NEGARA INI!!!,neutral,0.9979717135429382
