,full_text,label,text_processed,label_num
0,OK gas ...Indonesia Emas nih pak @prabowo @gibran_tweet l berkas kerja keras kalian kita memimpin klasemen pengangguran ke 1 di Asean. Kinerja kalian sangat memuaskan mayoritas para pengangguran. Siapa yang yg hendak kalian utus untuk menerima penghargaan ini ?,neutral,ok gas indonesia emas nih l berkas kerja keras pimpin klasemen anggur asean kerja muas mayoritas anggur yg utus terima harga,0
1,@DedynurPalakka Kinerja? Emang pernah dikasih tugas atau misi apa sm prabowo?,neutral,kerja emang kasih tugas misi sm prabowo,0
2,@txtdrimedia Kinerja?? Emang dikasi tugas apa sm prabowo?,neutral,kerja emang kasi tugas sm prabowo,0
3,Lembaga riset independen IndoStrategi merilis hasil riset evaluasi kinerja kabinet Prabowo-Gibran dan mengidentifikasi 10 menteri denga performa tertinggi. #kabinetprabowogibran #risetindostrategi https://t.co/aw4DdFvPyW,negative,lembaga riset independen indostrategi rilis hasil riset evaluasi kerja kabinet prabowo gibran identifikasi menteri denga performa te inggi,2
4,@Mdy_Asmara1701 bukannya seharusnya puas kinerja pak prabowo.. koq jadi agak gimana gitu...,neutral,puas kerja prabowo koq gimana gitu,0
5,@Mdy_Asmara1701 Survey abal-abal; apa kinerja yang sudah dilakukan prabowo gibran selain kepatuhan kepada presiden terdahulu?,neutral,survey abal abal kerja prabowo gibran patuh presiden,0
6,@mandalika1487 @Anak__Ogi T*lol semua akun buzzer ku kira anak abah itu objektif kritis ke Prabowo ternyata ngeliat kinerja KDM yg bagus langsung keringat dingin g mau nama Anies tenggelam langsung di framing macem ,neutral,t lol akun buzzer ku anak abah objektif kritis prabowo ngeliat kerja kdm yg bagus langsung keringat dingin g nama anies tenggelam langsung framing macem,0
7,Kinerja 10 tahun jokowi ini pak @prabowo maka dgn segala hormat kami mohon kpd pak prabowo ..tlg jgn lindungi &amp; halang²i rakyat utk menuntut adili jokowi krn sdh banyak sekali kerusakan yg sdh dibuatnya bgs bpk dgr saran dari senior dan junior bapak para purnawirawan TNI,neutral,kerja jokowi dgn hormat mohon kpd prabowo tlg jgn lindung amp halang i rakyat utk tuntut adil jokowi krn sdh rusa yg sdh bgs bpk dgr saran senior junior purnawirawan tni,0
8,@khanifirsyad Ya Allah kirain statement beliau sebelumnya bakal berubah lah malah makin menjadi sekarang. Jadi guna menko pangan tuh apaan wahai pak presiden @prabowo jika hal begini rakyat juga yang mandiri kami bayar pajak untuk menggaji para pejabat pemerintah tapi kinerja kalian begini?,positive,ya allah kirain statement beliau ubah menko pangan tuh presiden rakyat mandiri bayar pajak gaji jabat perintah kerja,1
9,@Heraloebss @Prabowo presiden yg hoby curhat anti kritik kinerja semenjak dilantik sampai saat ini sangat jauh dari harapan. Tp sy tetap berbaik sangka mungkin beliau NDASE jg mumet. Apalagi @gibran_tweet anak haram konstitusi. Ndak usah diragukan lagi tolol &amp; kedunguannya.,neutral,presiden yg hoby curhat anti kritik kerja semenjak lantik harap tp sy baik sangka beliau ndase jg mumet anak haram konstitusi ndak ragu tolol amp dungu,0
10,Menteri BUMN Erick Thohir menyampaikan Presiden Prabowo Subianto memerintahkan para pembantunya untuk terus memperbaiki kinerja seiring berjalannya waktu. Prabowo disebut mau pekerjaan anak buahnya ditingkatkan untuk mencegah kekalahan dalam persaingan global. #bumn https://t.co/19QQLaWq0f,positive,menteri bumn erick thohir presiden prabowo subianto perintah bantu baik kerja iring jalan prabowo kerja anak buah tingkat cegah kalah saing global,1
11,Sri Mulyani Temui Prabowo di Istana Mau Lapor Hasil Negosiasi Tarif Trump dan Kinerja APBN / #srimulyani #prabowo https://t.co/jPFZZST4Cj,negative,sri mulyani temu prabowo istana lapor hasil negosiasi tarif trump kerja apbn,2
12,@Heraloebss Yg disurvey dalam kolam semua kalo kinerja pak prabowo memang baik tp wakilnya puhhf,negative,yg disurvey kolam kalo kerja prabowo tp wakil puhhf,2
13,@kuatji @pandji Hasan Nasbi mundur sebagai Kepala PCO karena masalah kinerja terutama setelah insiden kepala babi dikirim ke Tempo. Tanggapannya yang kontroversial menyarankan untuk memasak saja menuai kritik publik dan Presiden Prabowo yang menyebutnya ceroboh. Pandji Pragiwaksono ,positive,hasan nasbi mundur kepala pco kerja insiden kepala babi kirim tempo tanggap kontroversial saran masak tuai kritik publik presiden prabowo sebut ceroboh pandji pragiwaksono,1
14,Kinerja nyata dari Prabowo -Gibran yang jelas membawa hasil positif dan dinikmati rakyat banyak tentu akan tercermin dari hasil survey yang independen transparan dan akuntabel. Good Job PraGib!,negative,kerja nyata prabowo gibran bawa hasil positif nikmat rakyat cermin hasil survey independen transparan akuntabel good job pragib,2
15,@NenkMonica Mending fokus awasi kinerja Pemerintah Terutama janji janji politik @prabowo Jangan biarkan umbar janji kemudian seenaknya diabaikan,positive,mending fokus awas kerja perintah janji janji politik biar umbar janji abai,1
16,@BANGSAygSUJUD @prabowo @tham878 @romoatheist @kiwalipitu @Kimberley_PS08 @hasanudinsajid @gtobing2903 @FDonghun @EdySularno96489 @awikuchuz Kinerja pemerintahan Prabowo Gibran semakin nyata Indonesiaku 🇮🇩,negative,kerja perintah prabowo gibran nyata indonesia,2
17,@imvibbyy @benasyid @kompascom @aniesbaswedan Dan prediksi saya jika Pak Prabowo berhasil 2 periode maka penggantinya adalah KDM (dengan syarat KDM ngak blunder parah). Maka sirnalah peluang bapak @aniesbaswedan untuk memenangkan pilpres kedepannya. Bahkan sebagian pendukung bapak sekarang banyak yg menyukai kinerja KDM.,negative,prediksi prabowo hasil periode ganti kdm syarat kdm ngak blunder parah sirna peluang menang pilpres depan dukung yg suka kerja kdm,2
18,@txtdrimedia Metro bilang begitu mewakili opini SP yg menjilat penguasa untuk memperoleh kekuasaan di KMP Prabowo. Masyarakat yg mana yg puas dg kinerja Wapres Songong dan kinerja apa yg membuat masyarakat puas ? Mungkin saja SP lagi ga ngotak ngawur banget,neutral,metro bilang wakil opini sp yg jilat kuasa oleh kuasa kmp prabowo masyarakat yg yg puas dg kerja wapres songong kerja yg masyarakat puas sp ga ngotak ngawur banget,0
19,senang bgt liat masyarakat puas sm kinerja Gibran https://t.co/5BwfoFb5dw,negative,senang bgt liat masyarakat puas sm kerja gibran,2
20,@Gojekmilitan @DediMulyadi71 @prabowo @prabowo maaf pak ini sepertinya ganggu kinerja KDM dan warga jabar yg sedang semangat melihat jabar di benahi,negative,maaf sepe inya ganggu kerja kdm warga jabar yg semangat jabar benah,2
21,@arianadyani @tempodotco Ketegasan Prabowo akan mendongkrak kinerja BUMN.,negative,tegas prabowo dongkrak kerja bumn,2
22,@Beritasatu Prabowo kali.....plangas plongos emang punya kinerja wkwkwk,neutral,prabowo kali plangas plongos emang kerja wkwkwk,0
23,@arianadyani @tempodotco Prabowo memilih pemimpin yang tepat untuk meningkatkan kinerja BUMN.,positive,prabowo pilih pimpin tingkat kerja bumn,1
24,Survei Rumah Politik Indonesia Publik Puas dengan Kinerja Prabowo-Gibran https://t.co/Djvo2dls7p,negative,survei rumah politik indonesia publik puas kerja prabowo gibran,2
25,@sharpandshark @prabowo @prabowo bukan tak paham soal itu. Tapi Prabowo tak punya cara lain utk mengamankan kekuasaan selain menggunakan tangan/kekuatan militer. Tak mungkin mempertahankan kekuasaan dgn kinerja krna bukan rahasia bhw Prabowo tak punya kompetensi yg mumpuni sbgai seorg pemimpin negara,negative,paham prabowo utk aman kuasa tangan kuat militer mempe ahankan kuasa dgn kerja krna rahasia bhw prabowo kompetensi yg mumpuni sbgai seorg pimpin negara,2
26,@BebySoSweet Yang positif si teddy kali ah positif hamil kinerja si prabowo minus semua anjjjjjj,neutral,positif si teddy kali ah positif hamil kerja si prabowo minus anjjjjjj,0
27,Prabowo Minta Kinerja Direksi BUMN Divaluasi: Gak Bener Ganti! https://t.co/VkeNpE2A3a,positive,prabowo kerja direksi bumn divaluasi gak bener ganti,1
28,Kinerja BUMN Jadi Sorotan Muzani-Dasco Saat Bertemu Prabowo di Istana https://t.co/iVM0xwq8G0,negative,kerja bumn sorot muzani dasco be emu prabowo istana,2
29,Presiden Prabowo tegaskan untuk mengganti direksi BUMN yang tidak efisien. Hal ini merupakan komitmen pemerintah untuk memperbaiki kinerja BUMN demi kemajuan ekonomi Indonesia https://t.co/4zm4IS4KR9,positive,presiden prabowo tegas ganti direksi bumn efisien komitmen perintah baik kerja bumn maju ekonomi indonesia,1
30,Presiden Prabowo Subianto meminta semua direksi BUMN meninggalkan praktik-praktik menyimpang. Selain itu evaluasi atas kinerja direksi BUMN juga harus dilakukan. #Polhuk #AdadiKompas https://t.co/kYTCtQHfq8,positive,presiden prabowo subianto direksi bumn tinggal praktik praktik simpang evaluasi kerja direksi bumn,1
31,Presiden Prabowo Subianto meminta semua direksi BUMN meninggalkan praktik-praktik menyimpang. Selain itu evaluasi atas kinerja direksi BUMN juga harus dilakukan. #Polhuk #AdadiKompas https://t.co/cO0895t1IL,positive,presiden prabowo subianto direksi bumn tinggal praktik praktik simpang evaluasi kerja direksi bumn,1
32,Saat menghadiri Townhall Meeting Danantara bersama BUMN pada Senin (28/4) Presiden Prabowo Subianto memerintahkan manajemen BUMN dan Danantara untuk mengevaluasi kinerja jaja ran direksi. Prabowo juga meninta jajaran direksi diisi dengan orang-orang yang profesional bukan https://t.co/Tl9yRJHnUE,positive,hadir townhall meeting danantara bumn senin presiden prabowo subianto perintah manajemen bumn danantara evaluasi kerja jaja ran direksi prabowo tinta jajar direksi isi orang orang profesional,1
33,evaluasi direksi BUMN? Mantap Pak Prabowo! Saatnya perbaiki kinerja demi Indonesia yg lebih sejahtera https://t.co/UjfBYPWgg1,negative,evaluasi direksi bumn mantap prabowo baik kerja indonesia yg sejahtera,2
34,setuju bgt Pak Prabowo! Pemimpin yg tegas dan transparan sangat dibutuhkan di BUMN. Evaluasi berkala bakal bikin kinerja makin optimal https://t.co/vJlOGIYpcY,positive,tuju bgt prabowo pimpin yg transparan butuh bumn evaluasi kala bikin kerja optimal,1
35,setuju banget pak Prabowo! Evaluasi direksi BUMN penting buat tingkatkan kinerja dan cegah penyalahgunaan. Semoga langkah ini bikin BUMN makin maju. Sukses ya Pak https://t.co/bkvcYaVr0T,positive,tuju banget prabowo evaluasi direksi bumn tingkat kerja cegah penyalahgunaan moga langkah bikin bumn maju sukses ya,1
36,dukung penuh keputusan Pak Prabowo! Evaluasi kerja direksi penting utk perbaikan kinerja BUMN. Semoga kebijakan ini bawa perubahan positif https://t.co/doq02GSnfQ,positive,dukung penuh putus prabowo evaluasi kerja direksi utk baik kerja bumn moga bijak bawa ubah positif,1
37,Akhirnya kita saling melengkapi Kinerja pemerintahan Prabowo Gibran sudah menampakkan hasil ketahanan pangan akan segera terwujud melalui swasembada beras SKYNANI MIRINDA PRESENTERS,neutral,lengkap kerja perintah prabowo gibran tampak hasil tahan pangan wujud swasembada beras skynani mirinda presenters,0
38,Presiden Prabowo Subianto menegaskan pentingnya kinerja dan integritas di tubuh BUMN. Ia mewarning para direksi agar meninggalkan praktik tak efisien dan tidak menunjukkan kemalasan. Evaluasi kinerja wajib dilakukan tapi penunjukan direksi tetap harus profesional. https://t.co/RleY9yo9Jm,positive,presiden prabowo subianto kerja integritas tubuh bumn mewarning direksi tinggal praktik efisien malas evaluasi kerja wajib tunjuk direksi profesional,1
39,Presiden Prabowo Subianto memerintahkan manajemen BUMN dan Danantara untuk mengevaluasi kinerja jajaran direksi. Presiden Prabowo tidak ingin ada direksi yang menyalahgunakan kewenangan dan meminta jajaran direksi diisi orang-orang profesional. #presidenprabowo #prabowo https://t.co/ErjE9fhslB,positive,presiden prabowo subianto perintah manajemen bumn danantara evaluasi kerja jajar direksi presiden prabowo direksi menyalahgunakan wenang jajar direksi isi orang orang profesional,1
40,Presiden Prabowo meminta seluruh jajaran direksi BUMN untuk meninggalkan praktik-praktik lama yang tidak efisien maupun yang menyimpang. Ia menegaskan bahwa evaluasi kinerja direksi harus dilakukan secara menyeluruh termasuk penilaian terhadap integritas dan profesionalisme.,positive,presiden prabowo jajar direksi bumn tinggal praktik praktik efisien simpang evaluasi kerja direksi nilai integritas profesionalisme,1
41,844 BUMN Bergabung dengan Danantara Prabowo Minta Kinerja Hingga Akhlak Jajaran Direksi Dievaluasi #TribunKaltim #Danantara #Prabowo #BUMN https://t.co/t8vT4LhZpn lewat @tribunnews,positive,bumn gabung danantara prabowo kerja akhlak jajar direksi evaluasi,1
42,@Ndons_Back @prabowo @are_inismyname @florieliciouss @BANGSAygSUJUD @99propaganda @Kimberley_PS08 @IrawanRommi @DarekaRendy @coldbrew165 @gtobing2903 @BPOM_RI @HaloBPOM1500533 @BPOMRI Kinerja BPOm terlalu santai,neutral,kerja bpom santai,0
43,Selamat pagi Sahabat Kompas. Manajemen Danantara akan mengevaluasi kinerja direksi BUMN. Pada saat yang sama Presiden Prabowo menekankan pentingnya integritas dan profesionalisme dalam pengelolaan Danantara. Baca selengkapnya di sini https://t.co/CeL5Knitwr #Ekonomi https://t.co/P9WQzTygql,negative,selamat pagi sahabat kompas manajemen danantara evaluasi kerja direksi bumn presiden prabowo tekan integritas profesionalisme kelola danantara baca lengkap,2
44,Akhlak .. Kompetensi .. Capaian Kinerja .. Prestasi Tidak memiliki 4 hal tersebut maka harus segera di evaluasi Setuju Pak Presiden @prabowo #akhlak #kompetensi #kinerja #prestasi,neutral,akhlak kompetensi capai kerja prestasi milik evaluasi tuju presiden,0
45,@Ndons_Back @prabowo @are_inismyname @florieliciouss @BANGSAygSUJUD @99propaganda @Kimberley_PS08 @IrawanRommi @DarekaRendy @coldbrew165 @gtobing2903 kinerja ga perlu evaluasi pemborosan wong kalau rugi yg dievaluasi niat baiknya dulu bukan prosesnya kan pengelola tidak bisa dihukum di undang2nya kecuali negara ini tidak dijalankan berdasarkan aturan hukum/perundangan,neutral,kerja ga evaluasi boros rugi yg evaluasi niat baik proses kelola hukum undang nya kecuali negara jalan dasar atur hukum undang,0
46,@prabowo mau berapa banyak lagi peraturan yang dilanggar? kritik masyarakat tidak pernah didengar semakin hari semakin buruk kinerja pemerintahan elu. Indonesia punya ±280jt penduduk JANGAN SEENAKNYA MENGHANCURKAN NEGARA INI!!!,neutral,atur langgar kritik masyarakat dengar buruk kerja perintah elu indonesia jt duduk hancur negara,0
47,@BebySoSweet Mestinya kinerja Prabowo aja tanpa Blimbing Wuluh (Fufu-Fafa),neutral,mesti kerja prabowo aja blimbing wuluh fufu fafa,0
48,@kompascom Pak Prabowo Sebaiknya bpk EVALUASI KABINET yg bp Presiden bentuk. Bagaimana KINERJA Menteri2 tsb apa sudah bener ? Intropeksi Kinerja bpk setelah itu baru KOREKSI BUMN,neutral,prabowo bpk evaluasi kabinet yg bp presiden bentuk kerja menteri tsb bener intropeksi kerja bpk koreksi bumn,0
49,@pena_kantor @jackjackparrr bener banget bg selama ini kita liat nya selalu bagus dan memuaskan masyarakat jabar ya itu hasil yang positif bgt. cuman yang gua jengkel nya itu pengikut kdm fanatik banget nge bandingin sm kinerja nya prabowo yang proker nya beda dan di jalur yang beda.,negative,bener banget bg liat nya bagus muas masyarakat jabar ya hasil positif bgt cuman gua jengkel nya ikut kdm fanatik banget nge bandingin sm kerja nya prabowo proker nya beda jalur beda,2
50,@Ndons_Back @prabowo @are_inismyname @florieliciouss @BANGSAygSUJUD @99propaganda @Kimberley_PS08 @IrawanRommi @DarekaRendy @coldbrew165 @gtobing2903 Evaluasi kinerja yang tidak berprestasi seperti @gibran_tweet @ListyoSigitP @ZUL_Hasan @bahlillahadalia @NasbiHasan @airlangga_hrt dll. Berani ga @prabowo?,neutral,evaluasi kerja prestasi sepe i dll berani ga,0
51,Kinerja Prabowo selama 6 bulan ini memang positif namun belum mampu mendorong pertumbuhan ekonomi hingga 8% pada akhir 2025 ini disebabkan masih belum berakhirnya masa transisi. Prabowo maju kena mundur kena.,positive,kerja prabowo positif dorong pe umbuhan ekonomi sebab transisi prabowo maju kena mundur kena,1
52,@Ndons_Back @prabowo @are_inismyname @florieliciouss @BANGSAygSUJUD @99propaganda @Kimberley_PS08 @IrawanRommi @DarekaRendy @coldbrew165 @gtobing2903 Omon omon @prabowo sudah evaluasi kinerja #p5tni - knp UU ASN tak berlaku di TNIAU (aduan sy MANDUL ke #presidenjokowi sjk 2014) ??? https://t.co/kdSNhggUYA,neutral,omon omon evaluasi kerja knp uu asn laku tniau adu sy mandul sjk,0
53,Presiden Prabowo Perintahkan Manajemen BUMN dan Danantara Evaluasi Kinerja Direksi https://t.co/ZiCs3Spcy2,positive,presiden prabowo perintah manajemen bumn danantara evaluasi kerja direksi,1
54,@grok coba kumpulin semua data dari media online berita nasional X apapun itu tentang kinerja 100 hari pasca Prabowo menjabat sebagai presiden. Terus buatkan presentase seberapa puas/tidak puas masyarakat terhadap kepemimpinan prabowo saat ini!,neutral,coba kumpulin data media online berita nasional x apa kerja pasca prabowo jabat presiden buat presentase puas puas masyarakat pimpin prabowo,0
55,Kinerja Pemerintah #Prabowo_Gibran bertengger tinggi 74 6 %,neutral,kerja perintah be engger,0
56,Presiden RI Prabowo Subianto menugaskan jajaran manajemen BUMN untuk mengevaluasi direksi-direksinya. Poin yang dievaluasi minta Prabowo adalah kinerja watak akhlak dan prestasi. https://t.co/7l77raBBNC,positive,presiden ri prabowo subianto tugas jajar manajemen bumn evaluasi direksi direksi poin evaluasi prabowo kerja watak akhlak prestasi,1
