Unnamed: 0,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,label
456,"1,89525E+18",Thu Feb 27 23:22:00 +0000 2025,700.0,Blm pernah terjadi di dunia sekalipun. 3 Presiden pilihan rakyat begitu asik bernyanyi trio dgn mengenakan seragam militer. @prabowo @jokowi dan @SBYudhoyono . Meskipun Pak Jokowi kurang hapal lagunya https://t.co/FDeXA046JE,"1,89525E+18",https://pbs.twimg.com/ext_tw_video_thumb/1895253045224833024/pu/img/WuhA8O50iula-9iM.jpg,,in,"DKI Jakarta, Indonesia",41.0,382.0,125.0,https://x.com/Franken_blues/status/1895253077802000606,"1,30124E+18",Franken_blues,positif
457,"1,89525E+18",Thu Feb 27 22:50:59 +0000 2025,121.0,Kesempatan langka Bpk Presiden Prabowo berbicara di hadapan anak bangsa terbaik Anak Bu Mega Anak Pak SBY Anak Pak Jokowi Beliau sendiri mantan menantu Presiden dan anak Menteri Obrolannya msh tentang bergiliran kuasa Di tengah segala masalah bangsa kita ikut tepuk tangan,"1,89525E+18",,,in,Sumbermanjing,2.0,3.0,68.0,https://x.com/Outstandjing/status/1895245272172896614,59363362,Outstandjing,negatif
458,"1,89522E+18",Thu Feb 27 21:24:59 +0000 2025,212.0,3 Oktober 2011 dan saat belum berkuasa menjadi Presiden Republik Indonesia bapak @prabowo pernah menyatakan dukungan hukuman mati bagi Koruptor. Kini Saatnya bapak buktikan pada dunia bahwa bapak bukan seorang politikus busuk yang mengoceh saat belum berkuasa namun ketika https://t.co/Oli1AZlXsz,"1,89522E+18",https://pbs.twimg.com/media/Gk0v2DBWsAABvzo.jpg,,in,Indonesia,3.0,31.0,98.0,https://x.com/Nicho_Silalahi/status/1895223630050795537,75519742,Nicho_Silalahi,negatif
459,"1,89515E+18",Thu Feb 27 16:36:15 +0000 2025,72.0,Kadrun sudah mulai turun ke jalan artinya Presiden Prabowo sdh di jalan yang benar ,"1,89515E+18",,,in,di bawah langit tanpa batas,3.0,50.0,17.0,https://x.com/silent_night21/status/1895150965592072438,"1,86108E+18",silent_night21,positif
460,"1,89513E+18",Thu Feb 27 14:59:26 +0000 2025,95.0,Pengelolaan hutan bukan sekadar memiliki izin tetapi tentang tanggung jawab. Dalam Rapat Kerja bersama Komisi IV DPR RI saya menegaskan bahwa @kemenhut_ri akan terus menertibkan dan mencabut PBPH yang tidak menjalankan kewajibannya sesuai perintah Presiden @prabowo. Hingga https://t.co/3vNnmKBebf,"1,89513E+18",https://pbs.twimg.com/ext_tw_video_thumb/1895126502640947200/pu/img/nZ267Cg1bZ1CV1H6.jpg,,in,Jakarta,11.0,138.0,25.0,https://x.com/RajaJuliAntoni/status/1895126604118114318,438832278,RajaJuliAntoni,netral
461,"1,89511E+18",Thu Feb 27 14:27:47 +0000 2025,73.0,@Jateng_Twit Tenang saja wapres Gibran sudah siapkan 19 juta lapangan pekerjaan. Bank Emas kata Presiden Prabowo juta 1 9 juta lapangan pekerjaan ,"1,89512E+18",,Jateng_Twit,in,"Jawa Tengah, Indonesia",0.0,2.0,9.0,https://x.com/__Fitriani_/status/1895118639461998823,2758399085,__Fitriani_,positif
462,"1,89511E+18",Thu Feb 27 13:52:27 +0000 2025,11253.0,Ada Yang Bisa Bantu Jawab ?? Mengapa.... Mobil Presiden Prabowo MV3 Garuda Limousine Isi BBM-nya Di SPBU SHELL Bukan PERTAMINA ??? . https://t.co/hHC91rGyaG .. https://t.co/0PqoFvjva5,"1,89511E+18",https://pbs.twimg.com/ext_tw_video_thumb/1895109674632126465/pu/img/SGiQ-xJcp3obDNGU.jpg,,in,,234.0,685.0,3162.0,https://x.com/cobeh2022/status/1895109744131784783,"1,60364E+18",cobeh2022,netral
463,"1,89505E+18",Thu Feb 27 13:34:29 +0000 2025,118.0,@Taqim35937476 @hnirankara Kelas sih ini. Penegasannya jg pas sudah ada presiden namanya Prabowo Subianto.,"1,89511E+18",,Taqim35937476,in,Indonesia,0.0,0.0,3.0,https://x.com/BukanDinasti/status/1895105223099851255,"1,71701E+18",BukanDinasti,positif
464,"1,8951E+18",Thu Feb 27 13:07:36 +0000 2025,115.0,Presiden @prabowo menginginkan harga2 bahan pokok stabil selama puasa hingga lebaran Pasar murah akan di adakan di seluruh kantor pos se-Indonesia mulai hari ini hingga lebaran Wamen @kementan mas @SudaryonoSudar memastikan ini terlaksana dg baik di lapangan Sip tenan iki https://t.co/454a9jzrLJ,"1,8951E+18",https://pbs.twimg.com/ext_tw_video_thumb/1895098160902524928/pu/img/aHLQ_Z_aWwJbNsNY.jpg,,in,,3.0,51.0,26.0,https://x.com/BANGSAygSUJUD/status/1895098460824838553,"1,18904E+18",BANGSAygSUJUD,positif
465,"1,8951E+18",Thu Feb 27 13:03:11 +0000 2025,332.0,Hujan-Hujanan! Presiden Prabowo Jokowi SBY Cek Pasukan Parade Senja di Akmil Magelang. Rukun dan bersatu karena sesungguhnya tidak ada kemakmuran tanpa persatuan tidak ada persatuan tanpa rakyatnya yang sumirngah dan bahagia. https://t.co/PQnyDE3FSt,"1,8951E+18",https://pbs.twimg.com/ext_tw_video_thumb/1895097247584677888/pu/img/W0XcWUlSLPJbvnTU.jpg,,in,,95.0,252.0,62.0,https://x.com/Ndons_Back/status/1895097348923199610,"1,28995E+18",Ndons_Back,positif
