,full_text,text_processed,label,score
0,Blm pernah terjadi di dunia sekalipun. 3 Presiden pilihan rakyat begitu asik bernyanyi trio dgn mengenakan seragam militer. @prabowo @jokowi dan @SBYudhoyono . Meskipun Pak Jokowi kurang hapal lagunya https://t.co/FDeXA046JE,blm pernah terjadi di dunia sekalipun presiden pilihan rakyat begitu asik bernyanyi trio dengan mengenakan seragam militer prabowo jokowi dan sbyudhoyono meskipun pak jokowi kurang hapal lagunya,neutral,0.9908075928688049
1,Kesempatan langka Bpk Presiden Prabowo berbicara di hadapan anak bangsa terbaik Anak Bu Mega Anak Pak SBY Anak Pak Jokowi Beliau sendiri mantan menantu Presiden dan anak Menteri Obrolannya msh tentang bergiliran kuasa Di tengah segala masalah bangsa kita ikut tepuk tangan,kesempatan langka bpk presiden prabowo berbicara di hadapan anak bangsa terbaik anak bu mega anak pak sby anak pak jokowi beliau sendiri mantan menantu presiden dan anak menteri obrolannya msh tentang bergiliran kuasa di tengah segala masalah bangsa kita ikut tepuk tangan,negative,0.6609797477722168
2,3 Oktober 2011 dan saat belum berkuasa menjadi Presiden Republik Indonesia bapak @prabowo pernah menyatakan dukungan hukuman mati bagi Koruptor. Kini Saatnya bapak buktikan pada dunia bahwa bapak bukan seorang politikus busuk yang mengoceh saat belum berkuasa namun ketika https://t.co/Oli1AZlXsz,oktober dan saat belum berkuasa menjadi presiden republik indonesia bapak prabowo pernah menyatakan dukungan hukuman mati bagi koruptor kini saatnya bapak buktikan pada dunia bahwa bapak bukan seorang politikus busuk yang mengoceh saat belum berkuasa namun ketika,neutral,0.9079861640930176
3,Kadrun sudah mulai turun ke jalan artinya Presiden Prabowo sdh di jalan yang benar ,kadrun sudah mulai turun ke jalan artinya presiden prabowo sdh di jalan yang benar,neutral,0.754233181476593
4,Pengelolaan hutan bukan sekadar memiliki izin tetapi tentang tanggung jawab. Dalam Rapat Kerja bersama Komisi IV DPR RI saya menegaskan bahwa @kemenhut_ri akan terus menertibkan dan mencabut PBPH yang tidak menjalankan kewajibannya sesuai perintah Presiden @prabowo. Hingga https://t.co/3vNnmKBebf,pengelolaan hutan bukan sekadar memiliki izin tetapi tentang tanggung jawab dalam rapat kerja bersama komisi iv dpr ri saya menegaskan bahwa kemenhut ri akan terus menertibkan dan mencabut pbph yang tidak menjalankan kewajibannya sesuai perintah presiden prabowo hingga,neutral,0.9415910243988037
5,@Jateng_Twit Tenang saja wapres Gibran sudah siapkan 19 juta lapangan pekerjaan. Bank Emas kata Presiden Prabowo juta 1 9 juta lapangan pekerjaan ,jateng twit tenang saja wapres gibran sudah siapkan juta lapangan pekerjaan bank emas kata presiden prabowo juta juta lapangan pekerjaan,negative,0.7800711989402771
6,Ada Yang Bisa Bantu Jawab ?? Mengapa.... Mobil Presiden Prabowo MV3 Garuda Limousine Isi BBM-nya Di SPBU SHELL Bukan PERTAMINA ??? . https://t.co/hHC91rGyaG .. https://t.co/0PqoFvjva5,ada yang bisa bantu jawab mengapa mobil presiden prabowo mv garuda limousine isi bbm nya di spbu shell bukan pertamina,positive,0.7474990487098694
7,@Taqim35937476 @hnirankara Kelas sih ini. Penegasannya jg pas sudah ada presiden namanya Prabowo Subianto.,taqim hnirankara kelas sih ini penegasannya jg pas sudah ada presiden namanya prabowo subianto,negative,0.9152106046676636
8,Presiden @prabowo menginginkan harga2 bahan pokok stabil selama puasa hingga lebaran Pasar murah akan di adakan di seluruh kantor pos se-Indonesia mulai hari ini hingga lebaran Wamen @kementan mas @SudaryonoSudar memastikan ini terlaksana dg baik di lapangan Sip tenan iki https://t.co/454a9jzrLJ,presiden prabowo menginginkan harga bahan pokok stabil selama puasa hingga lebaran pasar murah akan di adakan di seluruh kantor pos se indonesia mulai hari ini hingga lebaran wamen kementan mas sudaryonosudar memastikan ini terlaksana dg baik di lapangan sip tenan iki,neutral,0.9637637138366699
9,Hujan-Hujanan! Presiden Prabowo Jokowi SBY Cek Pasukan Parade Senja di Akmil Magelang. Rukun dan bersatu karena sesungguhnya tidak ada kemakmuran tanpa persatuan tidak ada persatuan tanpa rakyatnya yang sumirngah dan bahagia. https://t.co/PQnyDE3FSt,hujan hujanan presiden prabowo jokowi sby cek pasukan parade senja di akmil magelang rukun dan bersatu karena sesungguhnya tidak ada kemakmuran tanpa persatuan tidak ada persatuan tanpa rakyatnya yang sumirngah dan bahagia,neutral,0.9931334853172302
