Topic,Count,Name,Representation,Representative_Docs
-1,333,-1_kerja_prabowo_presiden_presiden prabowo,"['kerja', 'prabowo', 'presiden', 'presiden prabowo', 'puas', 'perintah', 'menteri', 'gibran', 'kerja prabowo', 'kerja perintah']","['laksana tugas capai kerja januari desember capai kerja dukung program prioritas presiden prabowo subianto wakil presiden gibran rakabuming raka kabinet merah putih', 'halo sobatrbpn genap kerja menteri atr kepala bpn nusron wahid wakil menteri atr wakil kepala bpn ossy dermawan lantik kabinet merah putih presiden prabowo subianto capai kerja liput program prioritas menteri atr bpn', 'genap kerja menteri atr kepala bpn nusron wahid wakil menteri atr wakil kepala bpn ossy dermawan lantik kabinet merah putih presiden prabowo subianto capai kerja liput program prioritas menteri atr bpn']"
0,403,0_tppbersamamenteridesa_tppbersamamenteridesa prabowo tppbersamamenteridesa_prabowo tppbersamamenteridesa_tppbersamamenteridesa musdesus,"['tppbersamamenteridesa', 'tppbersamamenteridesa prabowo tppbersamamenteridesa', 'prabowo tppbersamamenteridesa', 'tppbersamamenteridesa musdesus', 'tppbersamamenteridesa musdesus bentuk', 'prabowo tppbersamamenteridesa musdesus', 'tppbersamamenteridesa prabowo', 'putih tppbersamamenteridesa prabowo', 'putih tppbersamamenteridesa', 'merah putih tppbersamamenteridesa']","['tppbersamamenteridesa musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo', 'tppbersamamenteridesa musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo', 'tppbersamamenteridesa musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo tppbersamamenteridesa']"
1,224,1_prabowo musdesus_prabowo musdesus bentuk_tppbersamamenteridesa prabowo musdesus_koperasi merah,"['prabowo musdesus', 'prabowo musdesus bentuk', 'tppbersamamenteridesa prabowo musdesus', 'koperasi merah', 'bentuk koperasi merah', 'bentuk', 'koperasi', 'bentuk koperasi', 'koperasi merah putih', 'tppbersamamenteridesa prabowo']","['musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo', 'musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo', 'prabowo musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo']"
2,98,2_prabowo prabowo_prabowo_prabowo prabowo prabowo_kunci,"['prabowo prabowo', 'prabowo', 'prabowo prabowo prabowo', 'kunci', 'gimana', 'gimana prabowo', 'gimana prabowo prabowo', 'bina', 'prabowo presiden prabowo', 'prabowo presiden']","['prabowo', 'prabowo', 'prabowo prabowo']"
3,97,3_kerja_presiden_perintah_presiden prabowo,"['kerja', 'presiden', 'perintah', 'presiden prabowo', 'nilai', 'menteri', 'prabowo', 'prabowo subianto', 'subianto', 'bijak']","['perintah kabinet prabowo gibran pasuk kontroversi wawancara menteri kait kerja respons nilai kerja publik saksi metrotvkontroversi janji menteri kamis wib', 'lembaga survei indonesia rilis hasil survei puas publik kait kerja menteri kabinet presiden prabowo subianto wapres gibran rakabuming raka hasil survei tan amran posisi menteri kerja muas pilih responden', 'jelang kerja perintah prabowo subianto gibran rakabuming raka lembaga rilis hasil studi survei kerja menteri kabinet merah putih nilai perintah prabowo gibran talk direktur bijak publik']"
4,55,4_kalo_bilang_prabowo_kerja,"['kalo', 'bilang', 'prabowo', 'kerja', 'udah', 'nilai', 'kayak', 'tuh', 'nilai kerja', 'gimana']","['kalo kualifikasi alam pekerjaanya dikerjain sembarang orang kalo ngerjain sembarang orang ganggu kerja usaha sbgai apply loker daftar loker kalo gengsi opsi', 'harga emas gelondong kayak harga emas logam mulia sertifikat adick adick kalo emas murni kena gram harga kalo murni murah anggep jual dapet milyar', 'pemred kalo skala nilai kerja perintah prabowo kasih nilai passing grade cepat udah bilang koboy bilang politik komando menteri menteri']"
5,31,5_prabowo kerja_presiden prabowo kerja_kerja_prabowo kerja perintah,"['prabowo kerja', 'presiden prabowo kerja', 'kerja', 'prabowo kerja perintah', 'perintah', 'presiden prabowo', 'kerja perintah', 'prabowo', 'presiden', 'kerja prabowo']","['kerja perintah presiden prabowo', 'kerja perintah presiden prabowo', 'kerja perintah presiden prabowo']"
6,28,6_survei_publik_puas_prabowo gibran,"['survei', 'publik', 'puas', 'prabowo gibran', 'cigmark', 'gibran', 'maret', 'kerja', 'publik kerja', 'tingkat']","['angka asal survei cigmark research maret kerja semester perintah prabowo gibran survei telepon responden indonesia puas bulat margin error liput maret', 'survei publikasi bagi hasil teliti puas publik kerja perintah prabowo gibran persepsi wantimpres dukung transparansi rilis cigmark research maret survei evaluasi semester', 'the republic institute tri rilis hasil survei tajuk refleksi asta cita evaluasi puas publik kerja kabinet merah putih prabowo gibran survei potret hasil kerja prabowo gibran respons masyarakat']"
7,26,7_desa_tpplampung prabowo_tpplampung_tppbersamamenteridesa tpplampung prabowo,"['desa', 'tpplampung prabowo', 'tpplampung', 'tppbersamamenteridesa tpplampung prabowo', 'tppbersamamenteridesa tpplampung', 'putih tppbersamamenteridesa tpplampung', 'desa merah putih', 'desa merah', 'bentuk koperasi desa', 'koperasi desa merah']","['musdesus bentuk koperasi desa merah putih tppbersamamenteridesa tpplampung prabowo', 'musdesus bentuk koperasi desa merah putih tppbersamamenteridesa tpplampung prabowo', 'musdesus bentuk koperasi desa merah putih tppbersamamenteridesa tpplampung prabowo']"
8,26,8_menteri_kerja menteri_kerja_dorong kerja,"['menteri', 'kerja menteri', 'kerja', 'dorong kerja', 'prabowo', 'dorong', 'menteri kerja', 'evaluasi kerja', 'dpr', 'nilai']","['wakil ketua dpr sufmi dasco ahmad dorong kerja perintah presiden prabowo subianto kendur lewat kerja januari', 'prabowo evaluasi kerja karakter menteri buka adu kerja menteri raih target', 'prabowo mohon nilai rakyat kerja menteri perhati sesuai janji ganti menteri kerja']"
