Topic,Count,Name,Representation,Representative_Docs
-1,686,-1_kabinet_kerja bagus kabinet_bagus kabinet_kerja bagus,"['kabinet', 'kerja bagus kabinet', 'bagus kabinet', 'kerja bagus', 'bagus', 'kerja', 'prabowo', 'rakyat', 'kabinet prabowo', 'menteri']","['sukses presiden republik indonesia sambut kerja perintah president prabowo desa depan indonesia kerja nyata prabowo', 'kerja keras menteri prabowo visi aksi ketentraman kerja bagus kabinet', 'kerja keras kabinet prabowo visi aksi ketentraman kerja bagus kabinet']"
0,369,0_kinerjaprabowoterbukti_kinerjaprabowoterbukti kerja_prabowo gibran_kinerjaprabowoterbukti kerja prabowo,"['kinerjaprabowoterbukti', 'kinerjaprabowoterbukti kerja', 'prabowo gibran', 'kinerjaprabowoterbukti kerja prabowo', 'gibran', 'kerja prabowo', 'kerja prabowo gibran', 'kerja', 'masyarakat', 'bikin']","['warga puas kerja prabowo gibran bikin bangga kinerjaprabowoterbukti', 'kerja prabowo gibran dapet nilai masyarakat puas kinerjaprabowoterbukti', 'apresiasi kerja prabowo gibran kinerjaprabowoterbukti']"
1,227,1_harikerjanyata_harikerjanyata kerja_harikerjanyata kerja prabowo_kerja prabowo,"['harikerjanyata', 'harikerjanyata kerja', 'harikerjanyata kerja prabowo', 'kerja prabowo', 'indonesia harikerjanyata', 'kerja', 'indonesia', 'prabowo gibran', 'prabowo', 'gibran']","['hadir harap kerja prabowo gibran bawa indonesia harikerjanyata', 'semangat ubah nyata kerja prabowo gibran indonesia harikerjanyata', 'kerja prabowo gibran bukti nyata indonesia harikerjanyata']"
2,143,2_kabinet_bijak_bagus kabinet_kerja bagus kabinet,"['kabinet', 'bijak', 'bagus kabinet', 'kerja bagus kabinet', 'rakyat', 'kerja bagus', 'bagus', 'kabinet prabowo', 'rakyat kerja bagus', 'rakyat kerja']","['visi prabowo wujud bijak langsung dampak hidup rakyat kerja bagus kabinet', 'kabinet prabowo visi adil sosial makmur rasa rakyat indonesia kerja bagus kabinet', 'kabinet prabowo visi adil sosial makmur rasa rakyat kerja bagus kabinet']"
3,129,3_gibran_prabowo gibran_puas kerja_puas,"['gibran', 'prabowo gibran', 'puas kerja', 'puas', 'kerja prabowo gibran', 'puas kerja prabowo', 'publik puas kerja', 'publik puas', 'publik', 'perintah prabowo gibran']","['puas kerja prabowo gibran', 'publik puas kerja prabowo gibran', 'publik puas kerja prabowo gibran']"
4,121,4_survei_kerja prabowo_puas_prabowo survei,"['survei', 'kerja prabowo', 'puas', 'prabowo survei', 'puas kerja', 'masyarakat', 'puas kerja prabowo', 'kredibel', 'survei kredibel', 'kerja prabowo survei']","['survei indikator mayoritas masyarakat puas kerja presiden prabowo', 'survei indikator mayoritas masyarakat puas kerja presiden prabowo', 'survei indikator mayoritas masyarakat puas kerja presiden prabowo']"
5,67,5_sehat_cek_cek sehat_sehat gratis,"['sehat', 'cek', 'cek sehat', 'sehat gratis', 'cek sehat gratis', 'gratis', 'gratis prabowo', 'sehat gratis prabowo', 'sehat cek', 'sehat cek sehat']","['sehat bareng prabowo cek sehat gratis yuk', 'sehat cek sehat gratis prabowo ikut', 'prabowo sehat cek sehat gratis']"
6,53,6_presidenprabowo_perintah_prabowosubianto_tinggi tingkat puas,"['presidenprabowo', 'perintah', 'prabowosubianto', 'tinggi tingkat puas', 'tinggi tingkat', 'tingkat', 'presidenprabowo prabowosubianto', 'presiden', 'kabinet merah', 'kabinet merah putih']","['perintah sambut positif hasil survei baru tinggi tingkat puas masyarakat kerja presiden prabowo subianto kabinet merah putih perintah', 'perintah sambut positif hasil survei baru tinggi tingkat puas masyarakat kerja presiden prabowo subianto kabinet merah putih perintah', 'perintah sambut positif hasil survei tinggi tingkat puas masyarakat kerja presiden prabowo subianto kabinet merah putih kerja']"
7,52,7_makan_haris yocku_yocku_haris,"['makan', 'haris yocku', 'yocku', 'haris', 'jayapura', 'gratis', 'program makan', 'makan gratis', 'makan gizi gratis', 'gizi gratis']","['sukoharjo sukses jayapura program makan gizi gratis presiden prabowo jalan terima kasih haris yocku', 'pamekasan dukung program makan gizi gratis presiden prabowo terima kasih wakil bupati jayapura haris yocku apresiasi', 'cianjur ajar jayapura haris yocku program makan gizi gratis presiden prabowo udah bukti hasil']"
8,50,8_prabowo prabowo_prabowo_prabowo mantap_prabowo moga,"['prabowo prabowo', 'prabowo', 'prabowo mantap', 'prabowo moga', 'aamiin', 'moga', 'mantap', 'kerja prabowo prabowo', 'seru', 'prabowo aamiin']","['saran alangkah prabowo dengar nasehat alam insting', 'prabowo aamiin yaa rabbal aalamiin allahu akbar', 'prabowo moga tuhan cinta negeri bimbing jalan penuh berkah amiin']"
9,48,9_danantara_prabowo danantara_tegas_tegas prabowo,"['danantara', 'prabowo danantara', 'tegas', 'tegas prabowo', 'optimisme', 'optimisme prabowo', 'danantara prabowo', 'prabowo bikin danantara', 'bikin danantara', 'bikin']","['optimisme tegas prabowo danantara alas tetep gas', 'bentuk danantara langkah strategis presiden prabowo dorong kerja bumn investasi danantara', 'bentuk danantara langkah strategis presiden prabowo dorong kerja bumn investasi danantara']"
10,48,10_menteri_maju kerja bagus_indonesia maju kerja_maju kerja,"['menteri', 'maju kerja bagus', 'indonesia maju kerja', 'maju kerja', 'indonesia maju', 'menteri menteri prabowo', 'menteri prabowo', 'menteri menteri', 'maju', 'makmur indonesia maju']","['guysss menteri menteri prabowo ngerti masyarakat sejahtera indonesia maju kerja bagus kabinet', 'gin menteri menteri prabowo ngerti masyarakat makmur indonesia maju kerja bagus kabinet', 'guysss menteri menteri prabowo ngerti masyarakat makmur indonesia maju kerja bagus kabinet']"
11,39,11_mbg_bandung_program mbg_program,"['mbg', 'bandung', 'program mbg', 'program', 'mbg presiden prabowo', 'mbg presiden', 'program mbg presiden', 'mudah', 'presiden prabowo', 'gizi']","['bandung barat harap berkat program mbg presiden prabowo semangat atas gizi', 'anak anak bandung sehat berkat program mbg presiden prabowo mudah mudah pamekasan bagi', 'keren program mbg presiden prabowo bandung sukses atas gizi moga bandung barat rasa dampak']"
12,37,12_polri_mudik_arus_kerja polri,"['polri', 'mudik', 'arus', 'kerja polri', 'apresiasi', 'apresiasi kerja', 'aman', 'lebaran', 'arus mudik', 'apresiasi kerja polri']","['arus mudik idul fitri lancar presiden tokoh ormas apresiasi kerja polri presiden prabowo subianto apresiasi kerja polri arus mudik arus idul fitri hijriah libur lebaran apresiasiuntukpolri wujud dharma bakti', 'apresiasi polri arus mudik presiden polisi caci maki kerja keras korlantas polri jakarta presiden prabowo subianto apresiasi kerja polisi selenggara arus mudik arus idul fitri', 'apresiasi polri arus mudik presiden polisi caci maki kerja keras korlantas polri jakarta presiden prabowo subianto apresiasi kerja polisi selenggara arus mudik arus idul fitri']"
13,31,13_masyarakat puas kerja_prabowo masyarakat puas_prabowo masyarakat_masyarakat puas,"['masyarakat puas kerja', 'prabowo masyarakat puas', 'prabowo masyarakat', 'masyarakat puas', 'kerja presiden prabowo', 'kerja presiden', 'puas kerja presiden', 'puas kerja', 'presiden prabowo masyarakat', 'puas']","['masyarakat puas kerja presiden prabowo', 'masyarakat puas kerja presiden prabowo', 'masyarakat puas kerja presiden prabowo']"
14,31,14_menteri_menteri menteri_rakyat menteri menteri_hasil,"['menteri', 'menteri menteri', 'rakyat menteri menteri', 'hasil', 'rakyat menteri', 'hasil rasa', 'sejahtera rakyat menteri', 'rakyat', 'bahagia', 'utama prabowo']","['sejahtera rakyat fokus utama prabowo menteri menteri solid hasil rasa kerja bagus kabinet', 'sejahtera rakyat prioritas utama prabowo menteri menteri solid hasil rasa orang kerja bagus kabinet', 'fokus utama prabowo sejahtera rakyat menteri menteri kompak hasil rasa kerja bagus kabinet']"
15,31,15_survei_puas_prabowo gibran_gibran,"['survei', 'puas', 'prabowo gibran', 'gibran', 'perintah prabowo gibran', 'program', 'cigmark', 'perintah prabowo', 'perintah', 'publik']","['komisianda tingkat puas publik kerja prabowo gibran salah lembaga survey capai persen kerja evaluasi program program prabowo gibran jalan program mbg komentar streaming', 'nanti diskusi interaktif malam tingkat puas publik kerja prabowo gibran salah lembaga survei capai persen kerja evaluasi program program prabowo gibran jalan program mbg', 'nanti diskusi interaktif malam tingkat puas publik kerja prabowo gibran salah lembaga survei capai persen kerja evaluasi program program prabowo gibran jalan program mbg']"
16,30,16_jagung_kerja jagung_jagung prabowo_kerja jagung prabowo,"['jagung', 'kerja jagung', 'jagung prabowo', 'kerja jagung prabowo', 'bukti implementasi asta', 'bukti implementasi', 'narkoba kerja prabowo', 'perintah sita', 'prabowo bukti implementasi', 'perintah sita ton']","['perintah sita ton narkoba kerja prabowo bukti implementasi asta cita', 'perintah sita ton narkoba kerja prabowo bukti implementasi asta cita', 'perintah sita ton narkoba kerja prabowo bukti implementasi asta cita']"
17,28,17_target_rakyat target_sejahtera rakyat target_sejahtera rakyat,"['target', 'rakyat target', 'sejahtera rakyat target', 'sejahtera rakyat', 'sejahtera', 'kabinet sejahtera rakyat', 'garap', 'kabinet sejahtera', 'bagus kabinet sejahtera', 'kabinet']","['kabinet prabowo keras sejahtera rakyat target capai kerja bagus kabinet', 'sejahtera rakyat target serius garap kabinet prabowo kerja bagus kabinet', 'sejahtera rakyat target utama kabinet prabowo garap serius kerja bagus kabinet']"
18,28,18_rakabuming_gibran rakabuming_rakabuming raka_raka,"['rakabuming', 'gibran rakabuming', 'rakabuming raka', 'raka', 'gibran rakabuming raka', 'wakil presiden', 'subianto', 'prabowo subianto', 'presiden gibran rakabuming', 'presiden gibran']","['survei litbang kompas laksana periode januari hasil gembira tingkat puas publik kerja perintah presiden prabowo subianto wakil presiden gibran rakabuming raka pimpin', 'survei litbang kompas periode januari tingkat puas publik kerja perintah presiden prabowo subianto wakil presiden wapres gibran rakabuming raka', 'survei litbang kompas periode januari tingkat puas publik kerja perintah presiden prabowo subianto wakil presiden gibran rakabuming raka prabowosubianto gibranrakabuming jokowi']"
19,27,19_tuh gaspol_gaspol_tuh_realisasi,"['tuh gaspol', 'gaspol', 'tuh', 'realisasi', 'kabinet tuh', 'gaspol realisasi', 'tuh gaspol realisasi', 'kabinet tuh gaspol', 'menteri tuh', 'visi']","['guys visi prabowo rakyat kabinet tuh gaspol realisasi kerja bagus kabinet', 'guys visi prabowo future masyarakat oke kabinet tuh gaspol realisasi kerja bagus kabinet', 'gess visi presiden prabowo rakyat oke menteri tuh gaspol realisasi kerja bagus kabinet']"
20,26,20_nyata fokus baik_fokus baik_engine_nyata fokus,"['nyata fokus baik', 'fokus baik', 'engine', 'nyata fokus', 'baik', 'baik masyarakat kerja', 'baik masyarakat', 'visi nyata fokus', 'fokus baik masyarakat', 'visi nyata']","['guys kabinet prabowo tuh engine bikin visi nyata fokus baik masyarakat kerja bagus kabinet', 'guys cabinet prabowo tuh engine bikin visi nyata fokus baik masyarakat kerja bagus kabinet', 'guys menteri prabowo tuh engine bikin visi nyata fokus baik masyarakat kerja bagus kabinet']"
21,25,21_maju kerja bagus_maju kerja_indonesia maju kerja_indonesia maju,"['maju kerja bagus', 'maju kerja', 'indonesia maju kerja', 'indonesia maju', 'prabowo tuh', 'makmur indonesia maju', 'makmur indonesia', 'tuh', 'menteri prabowo tuh', 'maju']","['guysss menteri menteri prabowo tuh ngerti rakyat makmur indonesia maju kerja bagus kabinet', 'guys menteri menteri prabowo tuh ngerti rakyat makmur indonesia maju kerja bagus kabinet', 'gin menteri menteri prabowo tuh ngerti rakyat makmur indonesia maju kerja bagus kabinet']"
22,24,22_nilai_dasar_presiden prabowo nilai_prabowo nilai,"['nilai', 'dasar', 'presiden prabowo nilai', 'prabowo nilai', 'danantara', 'prabowo danantara kuat', 'positif dasar riset', 'riset independen indonesia', 'nilai positif dasar', 'kuat enam pimpin']","['dukung rakyat presiden prabowo danantara kuat enam pimpin kerja presiden prabowo nilai positif dasar riset independen indonesia social insight idsight', 'dukung rakyat presiden prabowo danantara kuat enam pimpin kerja presiden prabowo nilai positif dasar riset independen indonesia social insight idsight', 'dukung rakyat presiden prabowo danantara kuat enam pimpin kerja presiden prabowo nilai positif dasar riset independen indonesia social insight idsight']"
23,23,23_prabowo rancang bikin_rancang bikin_rancang_prabowo rancang,"['prabowo rancang bikin', 'rancang bikin', 'rancang', 'prabowo rancang', 'bagus kabinet langkah', 'kabinet langkah', 'happy', 'langkah', 'rancang bikin rakyat', 'langkah menteri']","['langkah menteri prabowo rancang bikin rakyat kian happy secure kerja bagus kabinet', 'langkah menteri prabowo rancang bikin rakyat kian happy aman kerja bagus kabinet', 'kerja bagus kabinet langkah menteri prabowo rancang bikin rakyat kian happy aman']"
