Topic,Count,Name,Representation,Representative_Docs
-1,1949,-1_kerja_prabowo_presiden_perintah,"['kerja', 'prabowo', 'presiden', 'perintah', 'presiden prabowo', 'menteri', 'puas', 'kerja perintah', 'kerja prabowo', 'survei']","['kerja presiden prabowo subianto mayoritas puas kerja presiden prabowo subianto', 'masyarakat puas kerja perintah prabowo', 'rakyat puas kerja presiden prabowo subianto']"
0,699,0_kabinet_bagus kabinet_kerja bagus kabinet_kerja bagus,"['kabinet', 'bagus kabinet', 'kerja bagus kabinet', 'kerja bagus', 'bagus', 'kabinet prabowo', 'rakyat', 'sejahtera', 'bagus kabinet prabowo', 'rakyat kerja bagus']","['juang kabinet prabowo bikin visi aksi sejahtera kerja bagus kabinet', 'kerja keras kabinet prabowo bikin visi aksi sejahtera kerja bagus kabinet', 'juang kabinet prabowo visi aksi sejahtera kerja bagus kabinet']"
1,452,1_jokowi_rakyat_prabowo_orang,"['jokowi', 'rakyat', 'prabowo', 'orang', 'negara', 'presiden', 'kerja', 'perintah', 'korupsi', 'kritik']","['prabowo jalan prabowo jokowi approval rating prabowo mayoritas rakyat puas kerja prabowo fakta sakit haters sabar', 'tuduh ijazah jokowi palsu orang orang goblog ikut orang orang tolol prabowo kalah pilpres masalah ijazah jokowi ijazah jokowi palsu senjata sidang', 'pura wakil rakyat jalan prabowo jokowi approval rating prabowo mayoritas rakyat puas kerja prabowo fakta sakit haters sabar']"
2,408,2_tppbersamamenteridesa_tppbersamamenteridesa prabowo tppbersamamenteridesa_prabowo tppbersamamenteridesa_tppbersamamenteridesa musdesus,"['tppbersamamenteridesa', 'tppbersamamenteridesa prabowo tppbersamamenteridesa', 'prabowo tppbersamamenteridesa', 'tppbersamamenteridesa musdesus', 'tppbersamamenteridesa musdesus bentuk', 'prabowo tppbersamamenteridesa musdesus', 'tppbersamamenteridesa prabowo', 'putih tppbersamamenteridesa prabowo', 'putih tppbersamamenteridesa', 'merah putih tppbersamamenteridesa']","['tppbersamamenteridesa musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo', 'tppbersamamenteridesa musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo', 'tppbersamamenteridesa musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo tppbersamamenteridesa']"
3,386,3_kalo_udah_orang_prabowo,"['kalo', 'udah', 'orang', 'prabowo', 'emang', 'bilang', 'tolol', 'tau', 'gua', 'sampe']","['lol akun buzzer anak abah objektif kritis prabowo ngeliat kerja kdm bagus langsung keringat dingin nama anies tenggelam langsung framing macem', 'wowo prabowo urusin tuh piara hercules biar anak buah buat kebal hukum karna beking presiden sok tegak hukum pake segel usaha emang hak grib', 'wowo prabowo urusin tuh piara hercules biar anak buah buat kebal hukum karna beking presiden sok tegak hukum pake segel usaha emang hak grib']"
4,347,4_prabowo prabowo_prabowo_preman_petrus,"['prabowo prabowo', 'prabowo', 'preman', 'petrus', 'indonesia', 'indonesia prabowo', 'prabowo preman', 'macan', 'negara', 'bubar prabowo']","['prabowo', 'prabowo', 'prabowo prabowo']"
5,273,5_prabowo kerja_prabowo_prabowo prabowo_mulyono,"['prabowo kerja', 'prabowo', 'prabowo prabowo', 'mulyono', 'preman', 'mulyono prabowo', 'kerja', 'kerja prabowo', 'sutiyoso', 'presiden']","['tangkap bubar ormasnya memang pikir berani rendah sutiyoso prabowo', 'prabowo kerja perintah', 'prabowo kerja presiden prabowo']"
6,235,6_gibran_prabowo gibran_kerja prabowo gibran_puas kerja,"['gibran', 'prabowo gibran', 'kerja prabowo gibran', 'puas kerja', 'puas', 'kerja prabowo', 'puas kerja prabowo', 'perintah prabowo gibran', 'publik puas kerja', 'publik puas']","['publik puas kerja prabowo gibran', 'puas kerja prabowo gibran', 'puas kerja prabowo gibran']"
7,232,7_harikerjanyata_harikerjanyata kerja_harikerjanyata kerja prabowo_kerja prabowo,"['harikerjanyata', 'harikerjanyata kerja', 'harikerjanyata kerja prabowo', 'kerja prabowo', 'indonesia harikerjanyata', 'indonesia', 'prabowo gibran', 'positif', 'gibran', 'kerja']","['semangat ubah nyata kerja prabowo gibran indonesia harikerjanyata', 'kerja prabowo bawa ubah positif nyata harikerjanyata', 'optimisme kerja prabowo gibran bawa ubah positif harikerjanyata']"
8,225,8_prabowo musdesus_prabowo musdesus bentuk_tppbersamamenteridesa prabowo musdesus_koperasi merah,"['prabowo musdesus', 'prabowo musdesus bentuk', 'tppbersamamenteridesa prabowo musdesus', 'koperasi merah', 'bentuk koperasi merah', 'koperasi merah putih', 'bentuk koperasi', 'tppbersamamenteridesa prabowo', 'koperasi', 'musdesus']","['musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo', 'musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo', 'prabowo musdesus bentuk koperasi merah putih tppbersamamenteridesa prabowo']"
